cod_ibge,nome,pib_2021,pib_2022,pib_2023,pib_percapita_2021,pib_percapita_2022,pib_percapita_2023
1718659,Rio da Conceição,29142,29758,45739,1582,...,...
1718709,Rio dos Bois,85928,94635,88775,49060,...,...
1718758,Rio Sono,111443,105483,150795,44816,...,...
1718808,Sampaio,145863,87893,70136,89575,...,...
1718840,Sandolândia,116736,119921,134402,69974,...,...
1718865,Santa Fé do Araguaia,175927,195532,202707,78913,...,...
1718881,Santa Maria do Tocantins,139630,112562,118353,94479,...,...
1718899,Santa Rita do Tocantins,180273,222463,275185,114174,...,...
1718907,Santa Rosa do Tocantins,307685,464797,419882,177193,...,...
1719004,Santa Tereza do Tocantins,48098,47244,57246,12489,...,...
1720002,Santa Terezinha do Tocantins,41931,42845,46686,13774,...,...
1720101,São Bento do Tocantins,73590,79930,90982,16584,...,...
1720150,São Félix do Tocantins,36541,33019,42355,11872,...,...
1720200,São Miguel do Tocantins,255814,233758,239634,127108,...,...
1720259,São Salvador do Tocantins,49467,49680,59857,13227,...,...
1720309,São Sebastião do Tocantins,61804,61444,68702,12540,...,...
1720499,São Valério,156734,178993,229618,87585,...,...
1720655,Silvanópolis,240329,286765,284767,116883,...,...
1720804,Sítio Novo do Tocantins,132862,160124,179637,28314,...,...
1720853,Sucupira,532374,160088,310361,494498,...,...
1720903,Taguatinga,318253,314405,386846,81241,...,...
1720937,Taipas do Tocantins,35246,35214,41627,9909,...,...
1720978,Talismã,146708,162121,173125,93130,...,...
1721000,Palmas,10333419,11951579,14168469,262385,...,...
1721109,Tocantínia,191373,159209,327560,104743,...,...
1721208,Tocantinópolis,372642,448286,529093,21117,...,...
1721257,Tupirama,118839,111988,96851,62585,...,...
1721307,Tupiratins,38619,38383,48417,8507,...,...
1722081,Wanderlândia,183424,192954,245767,45034,...,...
1722107,Xambioá,471020,598804,722713,39626,...,...
