cod_ibge,ano,mes,tipo_unidade,estabelecimentos
1700251,2019,12,68,1
1700251,2019,12,50,1
1700251,2019,12,2,1
1700251,2020,12,50,1
1700251,2020,12,68,1
1700251,2020,12,2,1
1700251,2021,12,68,1
1700251,2021,12,50,1
1700251,2021,12,2,1
1700251,2022,12,2,1
1700251,2022,12,50,1
1700251,2022,12,68,1
1700251,2023,12,74,1
1700251,2023,12,68,1
1700251,2023,12,50,1
1700251,2023,12,2,1
1700251,2024,12,68,1
1700251,2024,12,74,1
1700251,2024,12,2,1
1700251,2024,12,50,1
1700301,2019,12,2,2
1700301,2019,12,50,2
1700301,2019,12,74,1
1700301,2019,12,68,1
1700301,2020,12,50,2
1700301,2020,12,74,1
1700301,2020,12,2,2
1700301,2020,12,68,1
1700301,2021,12,68,1
1700301,2021,12,74,1
1700301,2021,12,2,2
1700301,2021,12,50,2
1700301,2022,12,50,2
1700301,2022,12,68,1
1700301,2022,12,2,2
1700301,2022,12,74,1
1700301,2023,12,50,2
1700301,2023,12,74,1
1700301,2023,12,68,1
1700301,2023,12,2,2
1700301,2024,12,68,1
1700301,2024,12,2,2
1700301,2024,12,74,1
1700301,2024,12,50,2
1700350,2019,12,2,2
1700350,2019,12,50,1
1700350,2019,12,39,1
1700350,2019,12,74,1
1700350,2019,12,73,1
1700350,2019,12,68,1
1700350,2020,12,73,1
1700350,2020,12,74,1
1700350,2020,12,2,2
1700350,2020,12,39,1
1700350,2020,12,50,1
1700350,2020,12,68,1
1700350,2021,12,73,1
1700350,2021,12,74,1
1700350,2021,12,2,2
1700350,2021,12,39,1
1700350,2021,12,68,1
1700350,2021,12,50,1
1700350,2022,12,2,2
1700350,2022,12,39,1
1700350,2022,12,73,1
1700350,2022,12,50,1
1700350,2022,12,68,1
1700350,2022,12,74,1
1700350,2023,12,2,2
1700350,2023,12,73,1
1700350,2023,12,50,1
1700350,2023,12,68,1
1700350,2023,12,74,1
1700350,2024,12,50,1
1700350,2024,12,2,2
1700350,2024,12,68,1
1700350,2024,12,74,1
1700400,2019,12,84,1
1700400,2019,12,39,1
1700400,2019,12,68,1
1700400,2019,12,2,1
1700400,2019,12,50,1
1700400,2020,12,73,1
1700400,2020,12,84,1
1700400,2020,12,50,1
1700400,2020,12,2,1
1700400,2020,12,68,1
1700400,2021,12,84,1
1700400,2021,12,2,1
1700400,2021,12,68,1
1700400,2021,12,73,1
1700400,2021,12,50,1
1700400,2022,12,2,1
1700400,2022,12,50,1
1700400,2022,12,73,1
1700400,2022,12,84,1
1700400,2022,12,68,1
1700400,2023,12,68,1
1700400,2023,12,74,1
1700400,2023,12,84,1
1700400,2023,12,73,1
1700400,2023,12,2,1
1700400,2023,12,50,1
1700400,2024,12,73,1
1700400,2024,12,2,1
1700400,2024,12,84,1
1700400,2024,12,50,1
1700400,2024,12,74,1
1700400,2024,12,68,1
1700707,2019,12,5,1
1700707,2019,12,36,3
1700707,2019,12,74,1
1700707,2019,12,2,4
1700707,2019,12,39,2
1700707,2019,12,22,3
1700707,2019,12,68,1
1700707,2019,12,50,1
1700707,2020,12,22,2
1700707,2020,12,74,1
1700707,2020,12,2,4
1700707,2020,12,68,1
1700707,2020,12,39,2
1700707,2020,12,50,1
1700707,2020,12,36,3
1700707,2020,12,5,1
1700707,2021,12,22,2
1700707,2021,12,36,3
1700707,2021,12,39,2
1700707,2021,12,2,4
1700707,2021,12,74,1
1700707,2021,12,50,1
1700707,2021,12,68,1
1700707,2021,12,5,1
1700707,2022,12,2,5
1700707,2022,12,68,1
1700707,2022,12,5,1
1700707,2022,12,36,3
1700707,2022,12,50,1
1700707,2022,12,39,2
1700707,2022,12,22,2
1700707,2022,12,74,1
1700707,2023,12,74,1
1700707,2023,12,39,2
1700707,2023,12,2,5
1700707,2023,12,36,3
1700707,2023,12,50,1
1700707,2023,12,5,1
1700707,2023,12,22,2
1700707,2023,12,68,1
1700707,2024,12,5,1
1700707,2024,12,74,1
1700707,2024,12,36,3
1700707,2024,12,39,2
1700707,2024,12,68,1
1700707,2024,12,22,3
1700707,2024,12,2,5
1700707,2024,12,50,1
1701002,2019,12,39,1
1701002,2019,12,50,1
1701002,2019,12,2,3
1701002,2019,12,5,1
1701002,2019,12,68,1
1701002,2020,12,2,3
1701002,2020,12,39,1
1701002,2020,12,50,1
1701002,2020,12,68,1
1701002,2020,12,5,1
1701002,2021,12,68,1
1701002,2021,12,39,1
1701002,2021,12,5,1
1701002,2021,12,50,1
1701002,2021,12,2,3
1701002,2022,12,2,3
1701002,2022,12,68,1
1701002,2022,12,5,1
1701002,2022,12,50,1
1701002,2022,12,39,1
1701002,2023,12,2,3
1701002,2023,12,39,2
1701002,2023,12,50,1
1701002,2023,12,5,1
1701002,2023,12,68,1
1701002,2024,12,50,1
1701002,2024,12,68,1
1701002,2024,12,5,1
1701002,2024,12,39,2
1701002,2024,12,2,3
1701051,2019,12,50,1
1701051,2019,12,2,2
1701051,2019,12,74,1
1701051,2019,12,68,1
1701051,2020,12,2,2
1701051,2020,12,68,1
1701051,2020,12,50,1
1701051,2020,12,74,1
1701051,2020,12,4,1
1701051,2021,12,39,1
1701051,2021,12,50,1
1701051,2021,12,74,1
1701051,2021,12,2,2
1701051,2021,12,68,1
1701051,2022,12,50,1
1701051,2022,12,74,1
1701051,2022,12,68,1
1701051,2022,12,2,2
1701051,2022,12,39,1
1701051,2023,12,50,1
1701051,2023,12,2,2
1701051,2023,12,68,1
1701051,2023,12,74,1
1701051,2023,12,39,2
1701051,2024,12,2,2
1701051,2024,12,50,1
1701051,2024,12,68,1
1701051,2024,12,39,2
1701051,2024,12,74,1
1701101,2019,12,50,1
1701101,2019,12,2,2
1701101,2019,12,68,1
1701101,2019,12,39,1
1701101,2020,12,68,1
1701101,2020,12,39,1
1701101,2020,12,50,1
1701101,2020,12,2,2
1701101,2021,12,68,1
1701101,2021,12,2,2
1701101,2021,12,50,1
1701101,2021,12,39,1
1701101,2022,12,68,1
1701101,2022,12,39,1
1701101,2022,12,50,1
1701101,2022,12,2,2
1701101,2023,12,2,1
1701101,2023,12,39,1
1701101,2023,12,50,1
1701101,2023,12,68,1
1701101,2024,12,2,1
1701101,2024,12,39,1
1701101,2024,12,68,1
1701101,2024,12,50,1
1701309,2019,12,2,3
1701309,2019,12,50,1
1701309,2019,12,68,1
1701309,2020,12,2,3
1701309,2020,12,74,1
1701309,2020,12,68,1
1701309,2020,12,50,1
1701309,2021,12,74,1
1701309,2021,12,2,3
1701309,2021,12,50,1
1701309,2021,12,68,1
1701309,2022,12,68,1
1701309,2022,12,2,3
1701309,2022,12,50,1
1701309,2022,12,74,1
1701309,2023,12,68,1
1701309,2023,12,74,1
1701309,2023,12,50,1
1701309,2023,12,2,3
1701309,2024,12,2,3
1701309,2024,12,68,1
1701309,2024,12,74,1
1701309,2024,12,50,1
1701903,2019,12,5,1
1701903,2019,12,74,1
1701903,2019,12,2,2
1701903,2019,12,50,1
1701903,2019,12,68,1
1701903,2020,12,5,1
1701903,2020,12,2,2
1701903,2020,12,74,1
1701903,2020,12,50,1
1701903,2020,12,68,1
1701903,2021,12,74,1
1701903,2021,12,2,2
1701903,2021,12,68,1
1701903,2021,12,50,1
1701903,2021,12,5,1
1701903,2022,12,50,1
1701903,2022,12,74,1
1701903,2022,12,5,1
1701903,2022,12,2,2
1701903,2022,12,68,1
1701903,2023,12,74,1
1701903,2023,12,68,1
1701903,2023,12,50,1
1701903,2023,12,5,1
1701903,2023,12,2,2
1701903,2024,12,50,1
1701903,2024,12,2,2
1701903,2024,12,5,1
1701903,2024,12,39,1
1701903,2024,12,68,1
1701903,2024,12,74,1
1702000,2019,12,22,2
1702000,2019,12,39,2
1702000,2019,12,50,1
1702000,2019,12,74,1
1702000,2019,12,5,1
1702000,2019,12,2,3
1702000,2019,12,1,2
1702000,2019,12,68,1
1702000,2019,12,43,1
1702000,2020,12,2,3
1702000,2020,12,5,1
1702000,2020,12,43,1
1702000,2020,12,74,1
1702000,2020,12,50,1
1702000,2020,12,68,1
1702000,2020,12,22,2
1702000,2020,12,39,2
1702000,2020,12,1,2
1702000,2021,12,43,1
1702000,2021,12,2,3
1702000,2021,12,22,2
1702000,2021,12,1,2
1702000,2021,12,39,2
1702000,2021,12,68,1
1702000,2021,12,50,1
1702000,2021,12,74,1
1702000,2021,12,5,1
1702000,2022,12,2,3
1702000,2022,12,5,1
1702000,2022,12,43,1
1702000,2022,12,74,1
1702000,2022,12,1,2
1702000,2022,12,68,1
1702000,2022,12,39,2
1702000,2022,12,50,1
1702000,2023,12,43,1
1702000,2023,12,39,1
1702000,2023,12,68,1
1702000,2023,12,1,2
1702000,2023,12,5,1
1702000,2023,12,2,3
1702000,2023,12,50,1
1702000,2023,12,74,1
1702000,2024,12,5,1
1702000,2024,12,39,1
1702000,2024,12,2,3
1702000,2024,12,1,2
1702000,2024,12,43,1
1702000,2024,12,74,1
1702000,2024,12,50,1
1702000,2024,12,68,1
1702109,2019,12,77,1
1702109,2019,12,79,1
1702109,2019,12,36,35
1702109,2019,12,42,6
1702109,2019,12,73,2
1702109,2019,12,40,1
1702109,2019,12,70,2
1702109,2019,12,43,2
1702109,2019,12,68,1
1702109,2019,12,22,139
1702109,2019,12,76,1
1702109,2019,12,7,1
1702109,2019,12,50,3
1702109,2019,12,72,1
1702109,2019,12,2,20
1702109,2019,12,5,5
1702109,2019,12,69,1
1702109,2019,12,81,2
1702109,2019,12,39,31
1702109,2020,12,22,144
1702109,2020,12,81,2
1702109,2020,12,73,2
1702109,2020,12,77,1
1702109,2020,12,76,1
1702109,2020,12,2,20
1702109,2020,12,39,33
1702109,2020,12,72,1
1702109,2020,12,79,1
1702109,2020,12,5,4
1702109,2020,12,50,3
1702109,2020,12,43,2
1702109,2020,12,42,6
1702109,2020,12,7,2
1702109,2020,12,68,1
1702109,2020,12,84,1
1702109,2020,12,70,3
1702109,2020,12,40,1
1702109,2020,12,36,36
1702109,2020,12,69,1
1702109,2021,12,2,20
1702109,2021,12,77,1
1702109,2021,12,7,2
1702109,2021,12,22,155
1702109,2021,12,80,1
1702109,2021,12,81,2
1702109,2021,12,40,1
1702109,2021,12,5,4
1702109,2021,12,79,1
1702109,2021,12,84,2
1702109,2021,12,70,3
1702109,2021,12,69,1
1702109,2021,12,68,1
1702109,2021,12,72,1
1702109,2021,12,39,34
1702109,2021,12,73,2
1702109,2021,12,36,38
1702109,2021,12,42,6
1702109,2021,12,50,3
1702109,2021,12,76,1
1702109,2021,12,43,2
1702109,2022,12,72,1
1702109,2022,12,73,2
1702109,2022,12,84,2
1702109,2022,12,7,1
1702109,2022,12,39,36
1702109,2022,12,42,8
