cod_ibge,ano,rede,ensino,ideb,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa
1700301,2019,municipal,fundamental,4.8,93.7,0.94168103,197.63,186.61
1700301,2019,publica,fundamental,3.7,83.9,0.83734602,230.25,233.0
1700301,2019,publica,fundamental,4.8,93.7,0.94168103,197.63,186.61
1700301,2019,publica,medio,4.1,90.6,0.914123,269.95,268.13
1700301,2021,estadual,fundamental,4.7,96.8,0.972424,241.09,251.28
1700301,2021,estadual,fundamental,,,,,
1700301,2021,estadual,medio,,87.6,0.876598,,
1700301,2021,municipal,fundamental,4.3,100.0,1.0,175.16,167.04
1700301,2021,municipal,fundamental,,,,,
1700301,2021,publica,fundamental,4.8,97.8,0.977768,241.09,251.28
1700301,2021,publica,fundamental,4.3,100.0,1.0,175.16,167.04
1700301,2021,publica,medio,,87.6,0.876598,,
1700301,2023,estadual,fundamental,,,,,
1700301,2023,estadual,fundamental,5.0,97.1,0.974535,255.04,254.22
1700301,2023,estadual,medio,3.8,91.2,0.911446,259.26,258.39
1700301,2023,municipal,fundamental,4.2,84.7,0.842475,243.07,254.9
1700301,2023,municipal,fundamental,4.4,91.8,0.913124,191.75,173.76
1700301,2023,publica,fundamental,4.4,91.8,0.913124,191.75,173.76
1700301,2023,publica,fundamental,4.7,91.9,0.917132,252.93,254.34
1700301,2023,publica,medio,3.8,91.2,0.911446,259.26,258.39
1700350,2009,estadual,fundamental,4.5,93.9,0.93772298,192.96,170.89
1700350,2009,estadual,fundamental,3.8,85.3,0.84824502,233.72,232.14
1700350,2009,municipal,fundamental,5.0,91.1,0.92022699,216.13,184.07
1700350,2009,municipal,fundamental,4.7,83.1,0.845559,271.6,262.04
1700350,2009,publica,fundamental,4.1,84.2,0.84344798,246.89,242.55
1700350,2009,publica,fundamental,4.7,92.5,0.92717898,205.44,178.05
1700350,2011,estadual,fundamental,4.1,84.7,0.84715301,245.13,242.07
1700350,2011,estadual,fundamental,5.3,92.0,0.91145402,224.86,194.24
1700350,2011,municipal,fundamental,5.4,91.4,0.91691101,224.97,201.16
1700350,2011,municipal,fundamental,4.9,86.9,0.87656498,278.64,259.69
1700350,2011,publica,fundamental,4.5,86.0,0.864016,261.89,250.88
1700350,2011,publica,fundamental,5.4,91.7,0.91522002,224.94,199.14
1700350,2013,estadual,fundamental,5.4,93.0,0.93219602,222.02,199.0
1700350,2013,estadual,fundamental,4.8,91.3,0.91052002,266.48,251.55
1700350,2013,municipal,fundamental,5.0,91.1,0.91348201,268.08,261.26
1700350,2013,municipal,fundamental,5.9,98.0,0.983742,233.11,197.25
1700350,2013,publica,fundamental,5.6,95.0,0.95694399,226.71,198.27
1700350,2013,publica,fundamental,4.9,91.2,0.91223198,267.25,256.17
1700350,2015,estadual,fundamental,5.4,95.5,0.958354,212.19,199.13
1700350,2015,estadual,fundamental,4.6,90.3,0.90172899,259.86,245.38
1700350,2015,municipal,fundamental,5.3,90.4,0.90442997,277.7,273.82
1700350,2015,municipal,fundamental,5.8,95.7,0.947568,226.57,211.37
1700350,2017,estadual,fundamental,5.2,92.8,0.92598701,267.13,268.32
1700350,2017,estadual,fundamental,6.2,98.6,0.99000698,229.03,215.6
1700350,2017,estadual,medio,4.5,91.9,0.92399901,282.14,280.73
1700350,2017,municipal,fundamental,5.5,96.9,0.96984398,272.61,265.67
1700350,2017,municipal,fundamental,6.0,93.6,0.94576001,228.42,219.99
1700350,2017,publica,fundamental,5.3,94.8,0.94712299,269.8,267.02
1700350,2017,publica,fundamental,6.0,95.9,0.96084303,228.91,216.57
1700350,2017,publica,medio,4.5,91.9,0.92399901,282.14,280.73
1700350,2019,estadual,fundamental,6.9,97.2,0.97123098,256.95,234.91
1700350,2019,estadual,fundamental,5.6,98.0,0.98342299,274.22,266.04
1700350,2019,estadual,medio,5.0,96.2,0.96610302,299.76,286.79
1700350,2019,municipal,fundamental,5.1,89.0,0.90068001,273.77,266.89
1700350,2019,municipal,fundamental,5.5,94.5,0.94794798,223.02,195.71
1700350,2019,publica,fundamental,5.4,94.5,0.94457698,274.04,266.39
1700350,2019,publica,fundamental,5.9,95.5,0.95522302,234.19,208.61
1700350,2019,publica,medio,5.0,96.2,0.96610302,299.76,286.79
1700350,2021,estadual,fundamental,4.8,100.0,1.0,245.07,244.8
1700350,2021,estadual,fundamental,4.7,100.0,1.0,186.84,176.49
1700350,2021,estadual,medio,,100.0,1.0,,
1700350,2021,municipal,fundamental,,98.6,0.98778,,
1700350,2021,municipal,fundamental,,,,,
1700350,2021,publica,fundamental,4.7,99.0,0.991288,185.93,177.36
1700350,2021,publica,fundamental,4.9,100.0,1.0,245.28,249.63
1700350,2021,publica,medio,,100.0,1.0,,
1700350,2023,estadual,fundamental,5.0,99.1,0.991172,253.84,249.84
1700350,2023,estadual,fundamental,6.7,97.1,0.96973,254.49,223.1
1700350,2023,estadual,medio,4.4,99.4,0.994949,272.49,261.39
1700350,2023,municipal,fundamental,5.3,98.4,0.979512,209.83,191.82
1700350,2023,municipal,fundamental,5.2,97.9,0.959955,259.23,263.8
1700350,2023,publica,fundamental,5.1,98.7,0.984827,255.6,254.4
1700350,2023,publica,fundamental,6.0,98.0,0.980442,230.2,206.09
1700350,2023,publica,medio,4.4,99.4,0.994949,272.49,261.39
1700400,2009,estadual,fundamental,4.2,92.4,0.93206602,186.03,167.25
1700400,2009,estadual,fundamental,3.8,92.1,0.918051,226.35,221.82
1700400,2009,municipal,fundamental,3.8,93.3,0.93446302,170.58,155.1
1700400,2009,publica,fundamental,3.8,92.1,0.918051,226.35,221.82
1700400,2009,publica,fundamental,4.1,92.9,0.9314,180.88,163.21
1700400,2011,estadual,fundamental,3.8,92.0,0.91953701,229.83,220.5
1700400,2011,estadual,fundamental,4.3,94.4,0.95123899,183.63,167.47
1700400,2011,municipal,fundamental,4.3,94.0,0.93781799,185.92,166.75
1700400,2011,publica,fundamental,3.8,92.0,0.91953701,229.83,220.5
1700400,2011,publica,fundamental,4.3,94.2,0.94199598,184.64,167.14
1700400,2013,estadual,fundamental,,,,,
1700400,2013,estadual,fundamental,3.9,93.1,0.93191499,230.27,221.36
1700400,2013,municipal,fundamental,4.4,98.6,0.98735398,182.83,167.27
1700400,2013,publica,fundamental,4.4,98.6,0.98735398,182.83,167.27
1700400,2013,publica,fundamental,3.9,93.1,0.93191499,230.27,221.36
1700400,2015,estadual,fundamental,4.0,91.5,0.915479,235.95,225.88
1700400,2015,estadual,fundamental,,,,,
1700400,2015,municipal,fundamental,4.3,94.7,0.93894398,185.19,168.1
1700400,2017,estadual,fundamental,4.6,96.4,0.96506798,242.52,241.36
1700400,2017,estadual,fundamental,,,,,
1700400,2017,estadual,medio,3.8,97.5,0.97625601,254.0,245.02
1700400,2017,municipal,fundamental,4.5,90.6,0.91321802,191.61,180.1
1700400,2017,publica,fundamental,4.5,90.6,0.91321802,191.61,180.1
1700400,2017,publica,fundamental,4.6,96.4,0.96506798,242.52,241.36
1700400,2017,publica,medio,3.8,97.5,0.97625601,254.0,245.02
1700400,2019,estadual,fundamental,,,,,
1700400,2019,estadual,fundamental,4.1,98.6,0.98610097,227.91,222.03
1700400,2019,estadual,medio,3.6,97.0,0.97092801,245.83,241.19
1700400,2019,municipal,fundamental,5.0,94.7,0.94987702,201.96,187.41
1700400,2019,publica,fundamental,4.1,98.6,0.98610097,227.91,222.03
1700400,2019,publica,fundamental,5.0,94.7,0.94987702,201.96,187.41
1700400,2019,publica,medio,3.6,97.0,0.97092801,245.83,241.19
1700400,2021,estadual,fundamental,,,,,
1700400,2021,estadual,fundamental,4.1,100.0,1.0,225.02,223.01
1700400,2021,estadual,medio,3.5,99.7,0.997319,233.1,237.35
1700400,2021,municipal,fundamental,4.1,99.6,0.996759,167.24,160.26
1700400,2021,publica,fundamental,4.1,100.0,1.0,225.02,223.01
1700400,2021,publica,fundamental,4.1,99.6,0.996759,167.24,160.26
1700400,2021,publica,medio,3.5,99.7,0.997319,233.1,237.35
1700400,2023,estadual,fundamental,,,,,
1700400,2023,estadual,fundamental,4.5,99.8,0.997988,235.53,233.69
1700400,2023,estadual,medio,3.9,100.0,1.0,245.91,252.26
1700400,2023,municipal,fundamental,4.9,100.0,1.0,193.1,176.23
1700400,2023,publica,fundamental,4.9,100.0,1.0,193.1,176.23
1700400,2023,publica,fundamental,4.5,99.8,0.997988,235.53,233.69
1700400,2023,publica,medio,3.9,100.0,1.0,245.91,252.26
1700707,2009,estadual,fundamental,4.5,96.8,0.96704602,239.42,242.53
1700707,2009,estadual,fundamental,5.4,97.0,0.97034103,210.77,197.44
1700707,2009,municipal,fundamental,4.8,95.4,0.95686001,193.35,186.17
1700707,2009,municipal,fundamental,4.5,93.6,0.927926,245.42,243.35
1700707,2009,publica,fundamental,4.5,95.0,0.948596,242.74,242.99
1700707,2009,publica,fundamental,5.0,95.9,0.96003699,199.63,190.19
1700707,2011,estadual,fundamental,4.8,92.9,0.93240398,257.85,251.38
1700707,2011,estadual,fundamental,6.0,96.1,0.96340799,240.0,202.86
1700707,2011,municipal,fundamental,4.2,87.6,0.87719202,248.97,239.52
1700707,2011,municipal,fundamental,5.3,92.9,0.93008798,218.94,197.53
1700707,2011,publica,fundamental,4.5,90.0,0.90075701,252.5,244.25
1700707,2011,publica,fundamental,5.5,93.9,0.94069397,223.61,198.72
1700707,2013,estadual,fundamental,4.3,84.1,0.839239,258.98,250.07
1700707,2013,estadual,fundamental,5.7,95.5,0.957663,227.46,201.42
1700707,2013,municipal,fundamental,5.7,96.4,0.96702099,222.64,203.13
