cod_ibge,nome,nume_cid,pgai,tipo_cidd,regiao_num,territ_cid,utr,criacao,area,pop_1996,pop_2000,pop_2007,pop_2008,pop_2009,assoc_mun,reg_pm,art_pm,region_ibg,cod_region,pop_2010,ppa_2012_2,number,regionaliz,areaoficia,reg_tur,nova_regio,nova_reg_o,cultura,area_1989,area_1990,area_1991,area_1992,area_1993,area_1994,area_1995,area_1996,area_1997,area_1998,area_1999,area_2000,area_2001,area_2002,area_2003,area_2004,area_2005,area_2006,area_2007,area_2008,area_2009,area_2010,area_2011,area_2012,area_2013,area_2014,area_2015,area_2016,area_2017,area_2018,colh_1989,colh_1990,colh_1991,colh_1992,colh_1993,colh_1994,colh_1995,colh_1996,colh_1997,colh_1998,colh_1999,colh_2000,colh_2001,colh_2002,colh_2003,colh_2004,colh_2005,colh_2006,colh_2007,colh_2008,colh_2009,colh_2010,colh_2011,colh_2012,colh_2013,colh_2014,colh_2015,colh_2016,colh_2017,colh_2018,prod_1989,prod_1990,prod_1991,prod_1992,prod_1993,prod_1994,prod_1995,prod_1996,prod_1997,prod_1998,prod_1999,prod_2000,prod_2001,prod_2002,prod_2003,prod_2004,prod_2005,prod_2006,prod_2007,prod_2008,prod_2009,prod_2010,prod_2011,prod_2012,prod_2013,prod_2014,prod_2015,prod_2016,prod_2017,prod_2018,rend_1989,rend_1990,rend_1991,rend_1992,rend_1993,rend_1994,rend_1995,rend_1996,rend_1997,rend_1998,rend_1999,rend_2000,rend_2001,rend_2002,rend_2003,rend_2004,rend_2005,rend_2006,rend_2007,rend_2008,rend_2009,rend_2010,rend_2011,rend_2012,rend_2013,rend_2014,rend_2015,rend_2016,rend_2017,rend_2018
1718840,Sandolândia,120-Sandolândia,Javaés,Menor impacto re,XIV,,<Null>,1993,3529,3495,3332,3443,3543,3562,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Rio Formoso,17004,3326,Gurupi,106,Região Metropolitana de Gurupi,3528.609,Sem Região,Área-Programa  Sudoeste( Ilha do Bananal),VIII,cana de açuca,0,0,0,0,0,0,60,9,55,65,60,65,70,60,40,35,40,35,10,20,22,25,30,20,21,20,21,21,22,20,0,0,0,0,0,0,60,9,55,65,60,65,70,60,40,35,40,35,10,20,22,25,30,20,21,20,21,21,22,20,0,0,0,0,0,0,1620,168,1485,1625,1860,2047,2170,1890,1240,1120,1320,1138,320,630,682,800,960,660,880,820,863,863,889,850,0,0,0,0,0,0,27000,18666,27000,25000,31000,31492,31000,31500,31000,32000,33000,32514,32000,31500,31000,32000,32000,33000,41905,41000,41095,41095,40409,42500
1716208,Paranã,130-Paranã,Outros,Menor impacto re,XVI,Sudeste,Regiao Sudeste,1857,11260,9270,10416,10491,10794,10824,Portal do Sudeste-Assoc. Municipios do Sudeste,1ª CIPM - Arraias,1ª CIPM,Dianópolis,17008,10316,Dianópolis,128,Região Sudeste,11260.151,Serras Gerais,Área-Programa Sudeste,X,cana de açuca,160,170,190,190,210,200,190,4,195,190,180,160,160,20,0,0,0,0,0,0,0,0,0,0,18,19,25,25,26,25,160,160,190,190,194,170,165,4,195,190,180,160,160,20,0,0,0,0,0,0,0,0,0,0,18,19,25,25,26,25,6400,6400,7600,7600,7000,5950,5775,58,6800,6460,5940,5200,5120,630,0,0,0,0,0,0,0,0,0,0,738,781,1026,1026,1050,1026,40000,40000,40000,40000,36082,35000,35000,14500,34871,34000,33000,32500,32000,31500,0,0,0,0,0,0,0,0,0,0,41000,41105,41040,41040,40385,41040
1707652,Figueirópolis,115-Figueirópolis,Outros,Menor impacto re,XIV,,<Null>,1980,1930,6084,5562,4820,4950,4883,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Gurupi,17005,5340,Gurupi,114,Região Metropolitana de Gurupi,1930.064,Sem Região,Área-Programa Sul,IX,cana de açuca,0,0,0,0,0,0,0,0,100,100,90,65,40,20,20,20,15,14,10,10,17,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,90,65,40,20,20,20,15,14,10,10,17,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2900,2950,3240,2275,1360,670,660,640,495,448,310,305,680,585,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29000,29500,36000,35000,34000,33500,33000,32000,33000,32000,31000,30500,40000,39000,38000,0,0,0,0,0,0,0
1720937,Taipas do Tocantins,128-Taipas do Tocantins,Outros,Menor impacto re,XV,Sudeste,Regiao Sudeste,1993,1167,1722,1713,1916,1974,1999,Portal do Sudeste-Assoc. Municipios do Sudeste,2ª CIPM - Dianópolis,2ª CIPM,Dianópolis,17008,1945,Dianópolis,131,Região Sudeste,1116.195,Sem Região,Área-Programa Sudeste,X,cana de açuca,0,0,0,0,20,20,20,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,13,13,8,8,16,16,0,0,0,0,20,20,20,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,13,8,8,8,16,16,0,0,0,0,600,600,600,0,125,125,125,125,125,125,125,150,150,150,150,150,150,150,150,320,520,320,320,320,640,900,0,0,0,0,30000,30000,30000,0,25000,25000,25000,25000,25000,25000,25000,30000,30000,30000,30000,30000,30000,30000,30000,40000,40000,40000,40000,40000,40000,56250
1720853,Sucupira,121-Sucupira,Outros,Menor impacto re,XIV,,<Null>,1993,1026,1303,1476,1667,1718,1741,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Gurupi,17005,1734,Gurupi,112,Região Metropolitana de Gurupi,1025.515,Sem Região,Área-Programa Sul,IX,cana de açuca,0,0,0,0,0,0,0,0,0,15,10,10,15,15,20,0,0,0,0,0,18,16,25,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,10,15,15,20,0,0,0,0,0,18,16,25,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,320,321,483,472,640,0,0,0,0,0,576,520,825,700,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28666,32000,32100,32200,31466,32000,0,0,0,0,0,32000,32500,33000,35000,40000,0,0,0,0,0
1705607,Conceição do Tocantins,134-Conceição do Tocantins,Outros,Menor impacto re,XVII,Sudeste,Regiao Sudeste,1963,2501,4393,4371,4402,4529,4541,Portal do Sudeste-Assoc. Municipios do Sudeste,2ª CIPM - Dianópolis,2ª CIPM,Dianópolis,17008,4182,Dianópolis,129,Região Sudeste,2500.733,Sem Região,Área-Programa Sudeste,X,cana de açuca,25,30,25,25,10,15,15,0,5,5,5,5,5,5,5,7,5,7,7,7,7,7,7,8,13,13,10,10,20,10,25,20,25,25,10,15,15,0,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,8,13,13,10,10,20,10,630,600,750,750,300,450,450,0,150,150,150,150,150,150,150,150,150,210,210,210,210,210,210,280,455,520,400,400,800,680,25200,30000,30000,30000,30000,30000,30000,0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,35000,40000,40000,40000,40000,68000
1703867,Cariri do Tocantins,112-Cariri do Tocantins,Outros,Menor impacto re,XIV,,<Null>,1993,1129,2473,2990,3562,3672,3738,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Gurupi,17005,3753,Gurupi,111,Região Metropolitana de Gurupi,1128.596,Sem Região,Área-Programa Sul,IX,cana de açuca,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1708205,Formoso do Araguaia,116-Formoso do Araguaia,Javaés,Capital,XIV,,<Null>,1963,13423,18385,18817,18225,18743,18719,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Rio Formoso,17004,18251,Gurupi,104,Região Metropolitana de Gurupi,13423.256,Ilha do Bananal,Área-Programa  Sudoeste( Ilha do Bananal),VIII,cana de açuca,20,15,0,0,0,0,0,0,0,0,0,20,25,20,15,15,20,18,20,0,0,0,0,0,0,20,20,20,21,25,20,15,0,0,0,0,0,0,0,0,0,20,25,20,15,15,20,18,20,0,0,0,0,0,0,20,20,20,21,25,760,600,0,0,0,0,0,0,0,0,0,660,813,640,465,480,630,576,620,0,0,0,0,0,0,600,650,630,852,1102,38000,40000,0,0,0,0,0,0,0,0,0,33000,32520,32000,31000,32000,31500,32000,31000,0,0,0,0,0,0,30000,32500,31500,40571,44080
1716604,Peixe,119-Peixe,Outros,Menor impacto re,XIV,,<Null>,1895,5291,8740,8763,8750,9002,9018,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Gurupi,17005,10364,Gurupi,113,Região Metropolitana de Gurupi,5291.182,Ilha do Bananal,Área-Programa Sul,IX,cana de açuca,1240,1275,30,20,20,10,10,3,10,15,10,10,15,20,20,20,30,25,25,23,27,25,25,20,18,19,20,20,22,23,1240,1275,30,20,20,10,10,3,10,15,10,10,15,20,20,20,30,25,25,23,27,25,25,20,18,19,20,20,22,23,88000,89200,1080,680,660,320,310,85,290,430,310,315,465,630,620,630,960,795,787,713,851,800,800,800,800,781,822,822,900,940,70968,69960,36000,34000,33000,32000,31000,28333,29000,28666,31000,31500,31000,31500,31000,31500,32000,31800,31480,31000,31518,32000,32000,40000,44444,41105,41100,41100,40909,40870
1709500,Gurupi,117-Gurupi,Outros,Capital,XIV,,<Null>,1958,1836,64725,65034,71413,73548,74357,,4º BPM - Gurupi,4º BPM,Gurupi,17005,76275,Gurupi,110,Região Metropolitana de Gurupi,1836.081,Ilha do Bananal,Área-Programa Sul,IX,cana de açuca,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1000,1100,2200,2200,0,0,0,0,0,18,50,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1000,1100,2200,2200,0,0,0,0,0,18,50,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,90000,101200,187000,187000,0,0,0,0,0,750,2020,0,0,0,0,0,0,0,17833,0,0,0,0,0,0,0,0,0,0,0,90000,92000,85000,85000,0,0,0,0,0,41667,40400
