cod_ibge,nome,bubal_1989,bubal_1990,bubal_1991,bubal_1992,bubal_1993,bubal_1994,bubal_1995,bubal_1996,bubal_1997,bubal_1998,bubal_1999,bubal_2000,bubal_2001,bubal_2002,bubal_2003,bubal_2004,bubal_2005,bubal_2006,bubal_2007,bubal_2008,bubal_2009,bubal_2010,bubal_2011,bubal_2012,bubal_2013,bubal_2014,bubal_2015,bubal_2016,bubal_2017,bubal_2018
1718451,Pugmil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713601,Monte do Carmo,35,45,55,65,75,90,110,0,0,0,0,0,0,0,55,50,55,55,50,45,50,55,59,80,86,0,88,82,74,74
1719004,Santa Tereza do Tocantins,0,0,0,0,0,0,0,5,5,5,5,5,7,7,8,5,5,5,5,5,5,5,2,0,0,0,0,0,5,1
1711951,Lagoa do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716109,Paraíso do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,30,25,35,30,30,25,30,40,45,45,68,38,36,35
1718204,Porto Nacional,120,150,180,215,260,310,370,70,70,70,70,75,80,80,70,65,60,55,50,45,40,40,35,45,48,60,58,57,54,40
1704600,Chapada de Areia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,25,60,55,58,96,0,0,0,72
1721000,Palmas,0,0,0,0,0,0,0,0,0,0,0,6,6,10,17,15,23,27,23,19,0,0,13,23,39,42,33,42,39,64
1715101,Novo Acordo,0,0,0,0,0,0,0,40,40,40,40,45,40,40,35,30,30,30,30,25,20,20,5,0,0,0,0,0,0,0
1720150,São Félix do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713700,Monte Santo do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,50,40,80,0,110,105,115,120,130,138,78,63,92,49,46
1701101,Aparecida do Rio Negro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1703107,Barrolândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,25,31,34,20
1712009,Lajeado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,44,45,48,45,47
1712504,Marianópolis do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,20,20,10,10,25,25,20,22,5,0,2,13,13
1713205,Miracema do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,40,40,0,5,5,0,0,0,0,25,30,40,30,21,35
1707108,Divinópolis do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,10,7
1721109,Tocantínia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,20,21,20,0,0,0,20,20,20,20,0,0
1718758,Rio Sono,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,80,60,15,0,15,10,27,30,35,15,15,15,15,22,20
1717503,Pium,450,500,600,700,820,960,1120,10,10,10,10,10,15,20,20,20,20,20,15,15,10,10,10,15,17,68,184,183,210,225
1713304,Miranorte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,8,10,10
1700251,Abreulândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
1703909,Caseara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,7,14,11,9
1718709,Rio dos Bois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716505,Pedro Afonso,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,11,13,20,20,16,10
1708254,Tabocão,0,0,0,0,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1712405,Lizarda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707207,Dois Irmãos do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,26,30,35,40,25,0,40,45,50,56,70,79,98,102,85
1703305,Bom Jesus do Tocantins,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,10,11,15
1704105,Centenário,0,0,0,0,0,0,0,1,2,3,5,5,10,10,12,10,11,10,0,0,0,0,0,0,0,0,5,25,26,0
1721257,Tupirama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1708304,Goianorte,0,0,0,0,0,0,0,5,5,5,5,5,6,5,5,6,39,46,45,50,45,50,50,60,62,30,4,5,7,6
1718881,Santa Maria do Tocantins,0,0,0,0,0,0,0,40,50,60,80,80,85,70,60,50,42,35,0,0,0,0,0,0,10,10,15,15,16,25
1716703,Colméia,170,180,200,210,220,230,230,8,10,10,15,15,20,18,15,14,16,34,0,120,140,165,185,200,220,240,222,221,208,223
