cod_ibge,nome,miel1989,miel1990,miel1991,miel1992,miel1993,miel1994,miel1995,miel1996,miel1997,miel1998,miel1999,miel2000,miel2001,miel2002,miel2003,miel2004,miel2005,miel2006,miel2007,miel2008,miel2009,miel2010,miel2011,miel2012,miel2013,miel2014,miel2015,miel2016,miel2017,miel2018
1717909,Ponte Alta do Tocantins,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,250,1000,1020
1718451,Pugmil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896,897,0,0
1713601,Monte do Carmo,0,0,0,0,0,0,0,2400,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,450
1719004,Santa Tereza do Tocantins,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,400,720,650
1711951,Lagoa do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716109,Paraíso do Tocantins,0,0,0,0,0,0,1500,1300,1200,1100,1150,1180,1100,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718204,Porto Nacional,0,0,0,0,0,0,3056,520,520,600,700,750,800,900,980,1200,1300,1500,1600,1800,1980,2180,2100,2250,6000,5000,5500,5500,1200,1100
1704600,Chapada de Areia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,1000,0,0
1721000,Palmas,0,0,0,0,0,0,2400,1370,100,100,130,3000,3000,2700,2800,2900,3300,3700,5300,4800,5200,5800,7000,7500,7144,8000,7540,10995,10955,10000
1715101,Novo Acordo,0,0,0,0,0,0,0,840,840,900,950,1000,950,970,980,990,1000,1050,0,0,0,0,0,0,0,0,0,0,0,0
1720150,São Félix do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,206
1713700,Monte Santo do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1701101,Aparecida do Rio Negro,0,0,0,0,0,0,0,200,200,250,290,300,330,340,350,360,380,400,450,470,520,570,585,530,610,650,840,1400,200,150
1703107,Barrolândia,0,0,0,0,0,0,4500,800,3000,2900,1000,1100,1150,1200,15000,14600,14800,15400,14500,13600,13100,14080,13500,14500,15128,5630,6215,6220,1940,1900
1712009,Lajeado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1712504,Marianópolis do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,800
1713205,Miracema do Tocantins,0,0,0,0,0,0,0,0,0,0,4500,4600,4400,4100,5750,450,4600,5100,4800,4500,4650,4700,4600,4300,3600,6720,6700,6500,6000,6000
1707108,Divinópolis do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,1800,1500
1721109,Tocantínia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718758,Rio Sono,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1717503,Pium,0,0,0,0,0,0,0,166,166,190,200,250,300,350,360,400,450,0,0,0,0,0,0,0,0,0,925,925,0,0
1713304,Miranorte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700251,Abreulândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703909,Caseara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,500
1718709,Rio dos Bois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716505,Pedro Afonso,0,0,0,0,0,0,0,40,50,60,70,70,80,80,0,0,0,0,0,0,0,0,0,0,800,850,830,800,752,752
1708254,Tabocão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,510,500,460,435,435
1712405,Lizarda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707207,Dois Irmãos do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,700,793,0,0
1703305,Bom Jesus do Tocantins,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1704105,Centenário,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,240,200,200,185,185
1721257,Tupirama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1708304,Goianorte,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
1718881,Santa Maria do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,1000,1090,1000,980,950,950
1716703,Colméia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,250,250,100,80,360,380,350
1701903,Araguacema,0,0,0,0,0,0,0,500,300,260,200,200,200,190,190,180,170,0,0,0,0,0,0,0,0,0,0,60,965,950
1718501,Recursolândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,290,185,180,168,168
1718402,Presidente Kennedy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,330,335,0,0,0,0,0
1706001,Couto de Magalhães,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,900,950,0,0,0,0,0,0,150,0,0,0,890,720
1711100,Itaporã do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
1710508,Itacajá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,285,230,250,0,0,0,0,0
1703602,Brasilândia do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,330,300,0,0,0,0,0
1721307,Tupiratins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,20,20,18,0,0
1716653,Pequizeiro,0,0,0,0,0,0,0,380,380,0,0,0,0,0,0,0,0,200,260,300,350,290,300,250,255,0,0,0,180,130
1711803,Juarina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1710904,Itapiratins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
1703842,Campos Lindos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,350,400,420,380,310,1940,250,300,320,300
1705508,Colinas do Tocantins,600,250,0,0,0,0,0,0,0,0,0,0,2500,2100,2450,3200,6500,6300,5810,6100,1100,2500,3000,3250,3000,3500,4000,2000,0,0
1703206,Bernardo Sayão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,650,500,0,0,0,0,0
1703057,Bandeirantes do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,250,250,0,0,0,0,0
1702307,Arapoema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,650,600,0,0,0,0,3300
1709005,Goiatins,0,0,0,0,0,0,0,185,190,220,240,200,260,0,0,0,0,0,0,800,880,900,1000,900,750,900,0,0,0,0
1715705,Palmeirante,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,600,700,570,1000,450,480,0,0,0,1700,1680
1714880,Nova Olinda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,11500,12000,12500,13000,12000,24875,14750,12000,18000,14063,7730,2800,4000
1703073,Barra do Ouro,0,0,0,0,0,0,0,0,80,110,120,100,120,200,220,285,350,390,400,480,560,590,600,550,450,400,400,350,0,0
1716307,Pau d'Arco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,500
1707702,Filadélfia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,520,550,600,550,460,370,220,200,0,0
1702109,Araguaína,0,0,2000,3000,3000,4000,5000,6000,0,550,600,700,900,1200,1400,1900,2200,3000,2200,2400,3500,4000,3900,3500,5430,7000,7500,8000,7800,5500
1703883,Carmolândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,300,330,340,300,280,250,100,150,0,0
1703008,Babaçulândia,0,0,0,0,0,0,0,0,60,100,120,100,150,260,290,350,450,490,500,650,750,800,830,700,580,530,115,100,250,900
1718865,Santa Fé do Araguaia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,270,290,300,250,210,200,95,60,0,0
1713957,Muricilândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,215,230,240,200,170,160,150,100,0,0
1701309,Aragominas,0,0,0,0,0,0,0,0,205,250,260,270,300,340,380,420,450,550,500,600,650,690,700,630,510,500,200,180,0,0
1722081,Wanderlândia,0,0,0,0,0,0,0,0,50,0,0,500,650,700,760,800,850,950,980,1200,1000,1100,1150,1000,1150,950,2000,1000,400,380
1706506,Darcinópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,150,168,157,148,200,130,112,90,0,0
1702158,Araguanã,0,0,0,0,0,0,4200,0,0,0,0,0,0,0,0,0,0,0,0,200,250,280,300,270,220,200,180,200,0,0
