cod_ibge,nome,nume_cid,pgai,tipo_cidd,regiao_num,territ_cid,utr,criacao,area,pop_1996,pop_2000,pop_2007,pop_2008,pop_2009,assoc_mun,reg_pm,art_pm,region_ibg,cod_region,pop_2010,ppa_2012_2,number,regionaliz,areaoficia,reg_tur,nova_regio,nova_reg_o,cultura,area_1989,area_1990,area_1991,area_1992,area_1993,area_1994,area_1995,area_1996,area_1997,area_1998,area_1999,area_2000,area_2001,area_2002,area_2003,area_2004,area_2005,area_2006,area_2007,area_2008,area_2009,area_2010,area_2011,area_2012,area_2013,area_2014,area_2015,area_2016,area_2017,area_2018,colh_1989,colh_1990,colh_1991,colh_1992,colh_1993,colh_1994,colh_1995,colh_1996,colh_1997,colh_1998,colh_1999,colh_2000,colh_2001,colh_2002,colh_2003,colh_2004,colh_2005,colh_2006,colh_2007,colh_2008,colh_2009,colh_2010,colh_2011,colh_2012,colh_2013,colh_2014,colh_2015,colh_2016,colh_2017,colh_2018,prod_1989,prod_1990,prod_1991,prod_1992,prod_1993,prod_1994,prod_1995,prod_1996,prod_1997,prod_1998,prod_1999,prod_2000,prod_2001,prod_2002,prod_2003,prod_2004,prod_2005,prod_2006,prod_2007,prod_2008,prod_2009,prod_2010,prod_2011,prod_2012,prod_2013,prod_2014,prod_2015,prod_2016,prod_2017,prod_2018,rend_1989,rend_1990,rend_1991,rend_1992,rend_1993,rend_1994,rend_1995,rend_1996,rend_1997,rend_1998,rend_1999,rend_2000,rend_2001,rend_2002,rend_2003,rend_2004,rend_2005,rend_2006,rend_2007,rend_2008,rend_2009,rend_2010,rend_2011,rend_2012,rend_2013,rend_2014,rend_2015,rend_2016,rend_2017,rend_2018
1718840,Sandolândia,120-Sandolândia,Javaés,Menor impacto re,XIV,,<Null>,1993,3529,3495,3332,3443,3543,3562,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Rio Formoso,17004,3326,Gurupi,106,Região Metropolitana de Gurupi,3528.609,Sem Região,Ãrea-Programa  Sudoeste( Ilha do Bananal),VIII,soja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,100,120,178,243,360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,100,120,178,243,360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,250,331,552,705,1240,1240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,2500,2758,3101,2901,3444,3444
1716208,Paranã,130-Paranã,Outros,Menor impacto re,XVI,Sudeste,Regiao Sudeste,1857,11260,9270,10416,10491,10794,10824,Portal do Sudeste-Assoc. Municipios do Sudeste,1ª CIPM - Arraias,1ª CIPM,Dianópolis,17008,10316,Dianópolis,128,Região Sudeste,11260.151,Serras Gerais,Ãrea-Programa Sudeste,X,soja,3700,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,3700,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,4440,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,1200,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700,0,0,0,0,0,0,0,0
1707652,Figueirópolis,115-Figueirópolis,Outros,Menor impacto re,XIV,,<Null>,1980,1930,6084,5562,4820,4950,4883,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Gurupi,17005,5340,Gurupi,114,Região Metropolitana de Gurupi,1930.064,Sem Região,Ãrea-Programa Sul,IX,soja,3840,3000,70,1250,225,700,830,0,0,950,200,350,570,600,2500,5160,6800,3500,3400,3600,3800,6000,7787,7900,10488,17300,25000,22875,21500,25537,3840,2850,68,1250,225,700,830,0,0,950,200,350,570,600,2500,5160,6800,3500,3400,3600,3800,6000,7787,7900,10488,17300,25000,20575,21500,25537,8450,2850,123,2250,203,1260,1494,0,0,1482,360,1400,1710,1500,6750,14190,18360,9275,9350,9936,11400,18000,25200,27018,28947,48786,70000,36000,63000,76074,2201,1000,1808,1800,902,1800,1800,0,0,1560,1800,4000,3000,2500,2700,2750,2700,2650,2750,2760,3000,3000,3236,3420,2760,2820,2800,1750,2930,2979
1720937,Taipas do Tocantins,128-Taipas do Tocantins,Outros,Menor impacto re,XV,Sudeste,Regiao Sudeste,1993,1167,1722,1713,1916,1974,1999,Portal do Sudeste-Assoc. Municipios do Sudeste,2ª CIPM - Dianópolis,2ª CIPM,Dianópolis,17008,1945,Dianópolis,131,Região Sudeste,1116.195,Sem Região,Ãrea-Programa Sudeste,X,soja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720853,Sucupira,121-Sucupira,Outros,Menor impacto re,XIV,,<Null>,1993,1026,1303,1476,1667,1718,1741,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Gurupi,17005,1734,Gurupi,112,Região Metropolitana de Gurupi,1025.515,Sem Região,Ãrea-Programa Sul,IX,soja,0,0,0,0,0,1200,870,726,0,364,0,0,0,163,650,4600,5730,2500,3500,3000,3200,3500,4790,5340,7108,12688,11280,12284,12409,17200,0,0,0,0,0,1200,870,726,0,364,0,0,0,163,650,4600,5730,2500,3500,3000,3200,3500,4790,5340,7108,12688,11280,12284,12409,17200,0,0,0,0,0,2400,1653,720,0,364,0,0,0,326,1625,12420,14898,6375,9275,8100,8960,10850,15328,19224,19192,35526,38605,21000,36630,51836,0,0,0,0,0,2000,1900,991,0,1000,0,0,0,2000,2500,2700,2600,2550,2650,2700,2800,3100,3200,3600,2700,2800,3422,1710,2952,3014
1705607,Conceição do Tocantins,134-Conceição do Tocantins,Outros,Menor impacto re,XVII,Sudeste,Regiao Sudeste,1963,2501,4393,4371,4402,4529,4541,Portal do Sudeste-Assoc. Municipios do Sudeste,2ª CIPM - Dianópolis,2ª CIPM,Dianópolis,17008,4182,Dianópolis,129,Região Sudeste,2500.733,Sem Região,Ãrea-Programa Sudeste,X,soja,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703867,Cariri do Tocantins,112-Cariri do Tocantins,Outros,Menor impacto re,XIV,,<Null>,1993,1129,2473,2990,3562,3672,3738,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Gurupi,17005,3753,Gurupi,111,Região Metropolitana de Gurupi,1128.596,Sem Região,Ãrea-Programa Sul,IX,soja,0,0,0,0,50,50,50,0,0,600,0,0,160,0,330,440,1000,1100,1000,1300,2000,3900,3480,4890,7821,23468,19817,14934,14900,17590,0,0,0,0,50,50,50,0,0,600,0,0,160,0,330,440,1000,1100,1000,1300,2000,3900,3480,4890,7821,23468,19817,13534,14900,17590,0,0,0,0,56,90,95,0,0,660,0,0,320,0,690,880,2220,2200,2100,3510,6000,12090,11136,16562,21898,64762,62409,23804,45500,53396,0,0,0,0,1120,1800,1900,0,0,1100,0,0,2000,0,2090,2000,2220,2000,2100,2700,3000,3100,3200,3387,2800,2760,3149,1759,3054,3036
1708205,Formoso do Araguaia,116-Formoso do Araguaia,Javaés,Capital,XIV,,<Null>,1963,13423,18385,18817,18225,18743,18719,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Rio Formoso,17004,18251,Gurupi,104,Região Metropolitana de Gurupi,13423.256,Ilha do Bananal,Ãrea-Programa  Sudoeste( Ilha do Bananal),VIII,soja,10350,9500,0,0,6930,9400,1637,1000,9800,7930,6132,12375,15177,12840,15100,17280,18330,8350,8400,11888,13950,16200,16260,16493,32380,20255,20424,19819,18826,19329,10350,9500,0,0,6930,9400,1637,1000,9800,7930,6132,12375,15177,12840,15100,17280,18330,8350,8400,11888,13950,16200,16260,16493,32380,20255,20424,19819,18826,19329,18630,17100,0,0,12474,15886,3264,2780,20580,16950,16640,31488,38208,32357,37750,43408,43236,22000,22260,32098,39100,50220,49544,54426,84058,60237,66650,60140,56100,62600,1800,1800,0,0,1800,1690,1993,2780,2100,2137,2713,2544,2517,2520,2500,2512,2358,2634,2650,2700,2802,3100,3047,3300,2596,2974,3263,3034,2980,3239
1716604,Peixe,119-Peixe,Outros,Menor impacto re,XIV,,<Null>,1895,5291,8740,8763,8750,9002,9018,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Gurupi,17005,10364,Gurupi,113,Região Metropolitana de Gurupi,5291.182,Ilha do Bananal,Ãrea-Programa Sul,IX,soja,3050,2000,600,200,50,145,520,218,200,420,300,380,1600,250,1450,4000,2230,2100,2800,7000,7700,10350,4745,9000,8930,20561,50000,47026,50000,51510,3050,1800,587,200,50,145,520,218,200,420,300,380,1600,250,1450,4000,2230,2100,2800,7000,7700,10350,4745,9000,8930,20561,50000,42026,50000,51510,5178,1800,1176,360,80,270,978,216,360,630,540,722,3040,437,2900,8800,6690,4788,6440,18900,23100,27945,15230,29700,25183,61683,150000,74000,148890,149390,1698,1000,2003,1800,1600,1862,1880,990,1800,1500,1800,1900,1900,1748,2000,2200,3000,2280,2300,2700,3000,2700,3210,3300,2820,3000,3000,1761,2978,2900
1709500,Gurupi,117-Gurupi,Outros,Capital,XIV,,<Null>,1958,1836,64725,65034,71413,73548,74357,,4º BPM - Gurupi,4º BPM,Gurupi,17005,76275,Gurupi,110,Região Metropolitana de Gurupi,1836.081,Ilha do Bananal,Ãrea-Programa Sul,IX,soja,2800,3000,0,35,0,1280,600,0,0,400,0,0,0,0,0,0,250,3800,0,150,0,120,120,520,4650,5000,9834,6914,9115,11000,2800,3000,0,35,0,1280,600,0,0,400,0,0,0,0,0,0,250,3800,0,150,0,120,120,520,4650,5000,9834,6314,9115,11000,4480,2700,0,60,0,2304,1140,0,0,230,0,0,0,0,0,0,625,9424,0,405,0,360,396,1629,13950,13500,32500,11080,26900,32220,1600,900,0,1714,0,1800,1900,0,0,575,0,0,0,0,0,0,2500,2480,0,2700,0,3000,3300,3133,3000,2700,3305,1755,2951,2929
