cod_ibge,nome,tr_efu_eur,tr_efu_eru,tr_efu_mur,tr_efu_mru,tr_efu_pur,tr_efu_pru
1716307,Pau d'Arco,0,15.4,0,9.8,0,0
1707702,Filadélfia,16.1,14.4,4.9,7.9,0,0
1702109,Araguaína,16.5,3.4,1.9,0,2.8,0
1703883,Carmolândia,5.2,7.5,11.6,14.9,1.4,0
1703008,Babaçulândia,9.5,7.4,5.5,5,1.4,0
1718865,Santa Fé do Araguaia,8.7,1,5.8,8.3,0,0
1713957,Muricilândia,9.7,8.6,5.4,8.9,1,0
1701309,Aragominas,14.8,3.4,8.8,7,5.3,0
1722081,Wanderlândia,5.8,5.4,2.5,15,0,0
1706506,Darcinópolis,9.1,18.1,10.2,9.4,0.6,0
1702158,Araguanã,10.9,3.4,4.4,6.7,2.8,0
1713809,Palmeiras do Tocantins,13.3,10.2,5,10.1,10.9,0
1717206,Piraquê,7.5,15.4,8.4,15.9,0,0
1700301,Aguiarnópolis,4.8,0,11.6,25,0,0
1720002,Santa Terezinha do Tocantins,9.3,1,8.8,7.8,3.2,0
1718550,Riachinho,0,16.3,20.4,24.4,3.1,0
1722107,Xambioá,6.4,5.4,3.3,5.1,0,0
1701051,Angico,25.5,3.4,12.5,10,5.3,0
1714302,Nazaré,24.9,2.4,12.2,4.6,0,0
1712454,Luzinópolis,21.9,1.8,5.2,6.7,3.4,0
1721208,Tocantinópolis,13.3,5.4,3.6,3.9,0.5,0
1703826,Cachoeirinha,11.4,7.5,6,4.4,1.4,0
1701002,Ananás,7.2,3.4,5.1,2.4,5.3,0
1712801,Maurilândia do Tocantins,32.3,2.9,13.5,5.4,3.4,0
1720101,São Bento do Tocantins,24.5,22.6,13.7,4.5,3.2,0
1710706,Itaguatins,8.3,8.7,10,5.5,1.8,0
1702901,Axixá do Tocantins,11.1,7.4,7.8,1.8,1.4,0
1720804,Sítio Novo do Tocantins,21.5,4.3,12,9.5,3.2,0
1720200,São Miguel do Tocantins,16,22.2,22.1,9.2,3.2,0
