cod_ibge,nome,ta_ef_eur,ta_ef_eru,ta_ef_mur,ta_ef_mru,ta_ef_pur,ta_em_eur,ta_em_eru,ta_em_mru,ta_em_pur,ta_em_fur,ta_em_fru
1718501,Recursolândia,0.5,0,2.1,2.9,0,0.6,0,0,0,0,0
1718402,Presidente Kennedy,4.1,0,0,0,0,0,0,0,0,0,0
1706001,Couto de Magalhães,5.6,0,1.3,1.4,0,7.8,0,0,0,0,0
1711100,Itaporã do Tocantins,1.8,0,0,0,0,4.8,0,0,0,0,0
1710508,Itacajá,1.1,6.7,0.9,0,0,1.5,12.2,0,0,0,0
1703602,Brasilândia do Tocantins,11.3,0,0,0,0,7.6,0,0,0,0,0
1721307,Tupiratins,6.8,0,0.8,0,0,5.7,0,0,0,0,0
1716653,Pequizeiro,1.4,0,0.7,1,0,4,0,0,0,0,0
1711803,Juarina,2.9,0,0,0,0,1.8,0,0,0,0,0
1710904,Itapiratins,3.7,0,0,0,0,7.9,0,0,0,0,0
1703842,Campos Lindos,4.4,0,2,3,0,17.1,0,0,0,0,0
1705508,Colinas do Tocantins,1.5,0,0.8,0,0,8.3,0,1.6,3.5,1.7,0
1703206,Bernardo Sayão,0.9,0,2.7,1.2,0,12.8,0,0,0,0,0
1703057,Bandeirantes do Tocantins,3.4,0,3.6,0,0,1.6,0,0,0,0,0
1702307,Arapoema,1.4,0,0.2,0,0,11.3,0,0,0,0,0
1709005,Goiatins,2.4,18.1,2.2,1.7,0,8.1,17.4,0,0,0,0
1715705,Palmeirante,1.9,0,1.2,3.2,0,4.6,0,0,0,0,0
1714880,Nova Olinda,3.6,0,0.2,4.2,11.4,11.8,0,0,0,0,0
1703073,Barra do Ouro,3,3.7,0.8,0.5,0,8.8,7.4,0,0,0,0
1716307,Pau d'Arco,3,0,1.6,1.8,0,4.5,0,0,0,0,0
1707702,Filadélfia,4.6,0,0.9,3.3,0,11.6,0,0,0,0,0
1702109,Araguaína,2.7,0,0,0,0.2,9.6,0,0,1.6,0.9,0
1703883,Carmolândia,4.5,0,1,0,0,7.6,0,0,0,0,0
1703008,Babaçulândia,1.6,0,0,1.3,0,8.3,0,0,0,0,0
1718865,Santa Fé do Araguaia,2.8,12.5,0,1.3,0,7.5,23.1,0,0,0,0
1713957,Muricilândia,2.2,0,0,0,0,2.9,0,0,0,0,0
1701309,Aragominas,3.6,0,0,0.8,0,6.5,0,0,0,0,0
1722081,Wanderlândia,0.7,0,0.5,2.7,0,4.2,0,0,0,0,0
1706506,Darcinópolis,8.8,0,0.8,0,0,12.3,0,0,0,0,0
1702158,Araguanã,2.3,0,0,1.4,0,6.6,0,0,0,0,0
1713809,Palmeiras do Tocantins,4.2,0,1.3,1.4,0,10.5,0,0,0,0,0
1717206,Piraquê,3.2,0,2.8,1.6,0,3.7,0,0,0,0,0
1700301,Aguiarnópolis,4,0,1.3,12.5,0,12.2,0,0,0,0,0
1720002,Santa Terezinha do Tocantins,2.8,0,0,0,0,5.3,0,0,0,0,0
1718550,Riachinho,0,0,2.1,3.1,0,12.4,0,0,0,0,0
1722107,Xambioá,1.9,0,0,0,0,5.9,0,0,0,0,0
1701051,Angico,4.9,0,0.3,0,0,8.7,0,0,0,0,0
1714302,Nazaré,9.1,0.4,2.4,0.7,0,13.5,3,0,0,0,0
1712454,Luzinópolis,5.1,0,0,0,0,7.7,0,0,0,0,0
1721208,Tocantinópolis,2.9,20,0.2,0.8,0,8.5,26.1,0,0,0,0
1703826,Cachoeirinha,0,0,0,0,0,5.2,0,0,0,0,0
1701002,Ananás,2.2,1.1,0.2,0,0,10.7,0,0,0,0,0
1712801,Maurilândia do Tocantins,3.1,0,0.2,0,0,1.3,0,0,0,0,0
1720101,São Bento do Tocantins,5.6,1.5,1,0.8,0,5.5,1.9,0,0,0,0
1710706,Itaguatins,1.5,0,1.3,3.1,0,3.4,0,0,0,0,0
1702901,Axixá do Tocantins,0,0,1.9,0.4,0,8.6,0,0,0,0,0
1720804,Sítio Novo do Tocantins,1.4,2.8,2.7,0.7,0,13.4,6.2,0,0,0,0
1720200,São Miguel do Tocantins,5.3,4.4,2.4,1.1,0,11.4,18,0,0,0,0
1702554,Augustinópolis,0.9,0,0,0,0,8.4,0,0,0,0,0
1718303,Praia Norte,2.7,0,1,2.9,0,12.8,0,0,0,0,0
1702208,Araguatins,0,3.1,0.9,1.4,0,4.2,15,0,0,0,2
1703800,Buriti do Tocantins,3.3,2.6,0.2,0.8,0,7.4,7.9,0,0,0,0
1703891,Carrasco Bonito,0,7.5,0.8,1.2,0,0,7.3,0,0,0,0
1718808,Sampaio,2.7,0,0.2,0,0,1.4,0,0,0,0,0
1707405,Esperantina,2.2,1.8,1.2,2.6,0,10.3,3.8,0,0,0,0
1720309,São Sebastião do Tocantins,5,0,1.6,2.8,0,6.7,0,0,0,0,0
1712157,Lavandeira,0.5,0,0,0,0,3.1,0,0,0,0,0
1702703,Aurora do Tocantins,1.3,0,0,0,0,0,0,0,0,0,0
1717800,Ponte Alta do Bom Jesus,6.3,5.7,0,2.9,0,11.1,11.8,0,0,0,0
1715259,Novo Jardim,4.4,0,2.3,0,0,2.2,0,0,0,0,0
1707009,Dianópolis,3.6,0,0.9,1.3,0,9.4,0,0,0,0,3.2
1718659,Rio da Conceição,3.7,0,0,0,0,1.2,0,0,0,0,0
1712702,Mateiros,1.4,0,0,0,0,2,0,0,0,0,0
1709302,Guaraí,2.1,0,0.2,1.4,0,13.2,0,0,0,0,0
