cod_ibge,nome,mec_e,mec_m,mec_p,me_pe_e,me_pe_m,me_pe_p,mef_e,mef_m,mef_p,me_mf,me_m,me_mm,me_mp,mep_f,mep_e,mep_mu,mep_p,mee_f,mee_es,mee_mu,mee_p,mee_fe,mee_e,mee_m,mee_par
1715101,Novo Acordo,0,43,0,0,116,0,485,415,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720150,São Félix do Tocantins,0,0,0,0,56,0,263,120,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713700,Monte Santo do Tocantins,0,1,0,0,46,0,0,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1701101,Aparecida do Rio Negro,0,0,0,0,138,0,180,727,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703107,Barrolândia,0,75,0,0,116,0,455,487,0,0,236,0,0,0,0,0,0,0,25,0,0,0,0,0,0
1712009,Lajeado,0,89,0,0,91,0,143,518,0,0,132,0,0,0,0,0,0,0,29,28,0,0,0,0,0
1712504,Marianópolis do Tocantins,0,113,0,0,96,0,240,574,0,0,175,0,0,0,0,0,0,0,31,26,0,0,0,0,0
1713205,Miracema do Tocantins,11,171,41,0,412,97,1986,1399,175,0,798,0,0,0,31,0,0,0,491,33,0,0,31,0,0
1707108,Divinópolis do Tocantins,0,137,0,0,209,0,506,665,0,0,261,0,0,0,0,0,0,0,32,9,0,0,0,0,0
1721109,Tocantínia,0,110,0,0,185,0,1313,519,0,0,339,0,0,0,238,0,0,0,288,32,0,0,238,0,0
1718758,Rio Sono,0,34,0,0,136,0,525,473,0,0,228,0,0,0,0,0,0,0,0,6,0,0,0,0,0
1717503,Pium,0,84,0,0,103,0,346,654,0,0,226,0,0,0,0,0,0,0,0,37,0,0,0,0,0
1713304,Miranorte,0,50,14,0,200,38,817,1247,201,0,494,0,0,0,27,0,0,0,230,11,0,0,27,0,0
1700251,Abreulândia,0,9,0,0,53,0,250,284,0,0,129,0,0,0,0,0,0,0,68,0,0,0,0,0,0
1703909,Caseara,0,113,0,0,136,0,436,536,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718709,Rio dos Bois,0,17,0,0,60,0,327,164,0,0,102,0,0,0,23,0,0,0,0,8,0,0,23,0,0
1716505,Pedro Afonso,0,185,31,0,373,39,1088,1059,107,0,669,0,0,142,0,0,36,0,306,23,0,142,0,0,36
1708254,Tabocão,0,43,0,0,134,0,105,511,0,0,182,0,0,0,0,0,0,0,15,0,0,0,0,0,0
1712405,Lizarda,0,0,0,0,82,0,422,322,0,0,171,0,0,0,0,0,0,0,0,32,0,0,0,0,0
1707207,Dois Irmãos do Tocantins,0,61,0,0,122,0,379,658,0,0,215,0,0,0,12,0,0,0,47,10,0,0,12,0,0
1703305,Bom Jesus do Tocantins,0,49,0,0,111,0,298,436,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1704105,Centenário,0,21,0,0,27,0,107,342,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1721257,Tupirama,0,17,0,0,53,0,107,163,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1708304,Goianorte,2,0,0,3,73,0,526,385,0,0,197,0,0,0,0,0,0,0,79,0,0,0,0,0,0
1718881,Santa Maria do Tocantins,0,51,0,0,63,0,210,300,0,0,115,0,0,0,0,0,0,0,0,24,0,0,0,0,0
1716703,Colméia,0,59,6,0,187,9,679,744,23,0,409,0,0,0,0,0,0,0,89,24,0,0,0,0,0
1701903,Araguacema,0,51,0,0,132,0,471,757,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718501,Recursolândia,0,44,0,0,97,0,190,690,0,0,175,0,0,0,0,0,0,0,0,29,0,0,0,0,0
1718402,Presidente Kennedy,0,0,0,0,67,0,268,261,0,0,151,0,0,0,26,0,0,0,36,0,0,0,26,0,0
1706001,Couto de Magalhães,0,76,0,0,117,0,334,764,0,0,252,0,0,0,0,0,0,0,28,30,0,0,0,0,0
1711100,Itaporã do Tocantins,0,28,0,0,38,0,166,206,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1710508,Itacajá,0,65,0,0,128,0,990,521,0,0,527,0,0,0,10,0,0,0,41,0,0,0,10,0,0
1703602,Brasilândia do Tocantins,0,53,0,0,61,0,171,231,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1721307,Tupiratins,0,45,0,0,51,0,176,191,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716653,Pequizeiro,0,98,0,0,130,0,151,786,0,0,232,0,0,0,0,0,0,0,85,43,0,0,0,0,0
1711803,Juarina,0,26,0,0,66,0,207,244,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1710904,Itapiratins,0,61,0,0,80,0,299,407,0,0,159,0,0,0,0,0,0,0,51,0,0,0,0,0,0
1703842,Campos Lindos,0,0,0,0,107,0,428,1780,0,0,456,0,0,0,0,0,0,0,31,89,0,0,0,0,0
1705508,Colinas do Tocantins,1,682,30,4,841,99,2605,2197,369,67,1208,70,118,144,0,70,0,0,387,112,0,144,0,70,0
1703206,Bernardo Sayão,0,66,0,0,124,0,121,678,0,0,228,0,0,0,0,0,0,0,41,0,0,0,0,0,0
1703057,Bandeirantes do Tocantins,0,23,0,0,75,0,206,376,0,0,126,0,0,0,0,0,0,0,47,0,0,0,0,0,0
1702307,Arapoema,0,51,0,0,177,0,513,518,0,0,357,0,0,0,0,0,10,0,0,0,0,0,0,0,10
1709005,Goiatins,0,266,0,0,375,0,1380,1571,0,0,573,0,0,0,77,0,0,0,141,115,0,0,77,0,0
1715705,Palmeirante,0,0,0,0,77,0,375,625,0,0,228,0,0,0,0,0,0,0,81,31,0,0,0,0,0
1714880,Nova Olinda,6,279,0,1,250,0,698,1234,182,0,429,0,0,0,0,0,155,0,158,80,0,0,0,0,155
1703073,Barra do Ouro,0,0,0,0,133,0,457,592,0,0,235,0,0,0,0,0,0,0,0,41,0,0,0,0,0
1716307,Pau d'Arco,0,57,0,0,79,0,270,477,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707702,Filadélfia,0,40,0,0,184,0,641,808,0,0,344,0,0,0,0,0,0,0,38,39,0,0,0,0,0
1702109,Araguaína,45,3209,997,16,3476,1531,12270,9268,4241,227,6562,0,1000,538,51,336,837,41,1518,1248,183,538,51,336,837
1703883,Carmolândia,0,54,0,0,71,0,130,303,0,0,97,0,0,0,0,0,0,0,17,41,0,0,0,0,0
1703008,Babaçulândia,0,89,0,0,200,0,476,915,0,0,367,0,0,0,0,0,0,0,44,62,0,0,0,0,0
1718865,Santa Fé do Araguaia,0,56,7,0,175,6,512,764,47,0,321,0,0,0,0,0,0,0,97,81,0,0,0,0,0
1713957,Muricilândia,0,15,0,0,23,0,312,243,0,0,141,0,0,0,0,0,0,0,45,0,0,0,0,0,0
1701309,Aragominas,0,0,0,0,121,0,450,599,0,0,261,0,0,0,0,0,0,0,123,27,0,0,0,0,0
1722081,Wanderlândia,0,111,0,0,216,11,588,856,44,0,450,0,0,0,0,0,0,0,101,114,0,0,0,0,0
1706506,Darcinópolis,0,0,0,0,201,0,416,608,0,0,211,0,0,0,27,0,0,0,27,0,0,0,27,0,0
1702158,Araguanã,0,53,0,0,112,0,367,556,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713809,Palmeiras do Tocantins,0,0,0,0,141,0,477,531,0,0,215,0,0,0,0,0,0,0,85,0,0,0,0,0,0
1717206,Piraquê,0,57,0,0,55,0,218,256,0,0,113,0,0,0,0,0,0,0,42,11,0,0,0,0,0
1700301,Aguiarnópolis,0,50,0,0,120,0,294,762,0,0,226,0,0,0,26,0,0,0,72,23,0,0,26,0,0
1720002,Santa Terezinha do Tocantins,0,0,0,0,53,0,106,315,0,0,152,0,0,0,43,0,0,0,43,0,0,0,43,0,0
1718550,Riachinho,0,0,0,0,128,0,0,874,0,0,238,0,0,0,21,0,0,0,21,0,0,0,21,0,0
1722107,Xambioá,0,114,14,0,282,38,950,1040,84,0,538,0,0,0,0,0,0,0,171,77,0,0,0,0,0
1701051,Angico,0,0,0,0,106,0,268,358,0,0,145,0,0,0,24,0,0,0,24,0,0,0,24,0,0
1714302,Nazaré,3,72,0,1,148,0,521,408,0,0,197,0,0,0,35,0,0,0,82,0,0,0,35,0,0
1712454,Luzinópolis,0,0,0,0,111,0,253,318,0,0,118,0,0,0,42,0,0,0,42,0,0,0,42,0,0
1721208,Tocantinópolis,0,441,4,0,527,77,3145,943,183,0,937,0,0,0,95,0,56,0,353,0,0,0,95,0,56
1703826,Cachoeirinha,0,0,0,0,84,0,169,239,0,0,119,0,0,0,0,0,0,0,0,30,0,0,0,0,0
1701002,Ananás,0,0,0,0,205,0,874,1099,0,0,525,0,0,0,0,0,307,0,105,0,0,0,0,0,307
1712801,Maurilândia do Tocantins,0,0,0,0,77,0,128,556,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720101,São Bento do Tocantins,0,0,0,0,165,0,523,495,0,0,230,0,0,0,0,0,0,0,74,60,0,0,0,0,0
1710706,Itaguatins,0,52,0,0,169,0,140,940,0,0,244,0,0,0,10,0,0,0,10,59,0,0,10,0,0
1702901,Axixá do Tocantins,0,88,63,0,279,75,146,2299,0,0,645,0,0,0,0,0,0,0,0,35,0,0,0,0,0
1720804,Sítio Novo do Tocantins,0,302,0,0,296,0,651,1130,0,0,355,0,0,0,0,137,0,0,38,231,0,0,0,137,0
1720200,São Miguel do Tocantins,0,115,0,0,357,0,689,1344,0,0,441,0,0,0,0,0,0,0,32,86,0,0,0,0,0
1702554,Augustinópolis,0,0,19,0,466,51,1825,1376,143,0,744,0,0,0,116,0,197,0,186,32,0,0,116,0,197
1718303,Praia Norte,0,170,0,0,295,0,322,1386,0,0,357,0,0,0,0,0,0,0,0,19,0,0,0,0,0
1702208,Araguatins,0,218,52,0,656,165,2939,2913,273,625,1241,0,0,682,72,0,55,0,328,136,0,682,72,0,55
1703800,Buriti do Tocantins,0,56,0,0,305,0,1032,722,0,0,510,0,0,0,14,0,0,0,14,43,0,0,14,0,0
1703891,Carrasco Bonito,0,0,0,0,110,0,328,444,0,0,192,0,0,0,20,0,0,0,33,0,0,0,20,0,0
1718808,Sampaio,0,0,0,0,134,0,430,514,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707405,Esperantina,0,6,0,0,358,0,414,1706,0,0,527,0,0,0,16,0,0,0,16,133,0,0,16,0,0
1720309,São Sebastião do Tocantins,0,82,0,0,144,0,452,452,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1712157,Lavandeira,0,9,0,0,47,0,216,92,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702703,Aurora do Tocantins,0,25,0,0,63,0,377,241,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1717800,Ponte Alta do Bom Jesus,0,27,0,0,82,0,574,247,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1715259,Novo Jardim,0,17,0,0,93,0,232,281,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707009,Dianópolis,0,139,112,0,548,18,2219,1524,63,159,768,0,0,219,54,0,32,0,294,0,31,219,54,0,32
1718659,Rio da Conceição,0,51,0,0,62,0,191,163,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1712702,Mateiros,0,0,0,0,65,0,217,330,0,0,155,0,0,0,0,0,0,0,14,0,0,0,0,0,0
1709302,Guaraí,7,142,87,4,551,191,1466,1387,767,0,1052,0,83,0,226,0,65,0,311,0,0,0,226,0,65
