cod_ibge_1,color,last_modification,modified_by,nome,shape_area,shape_leng,d_eja_es,d_eja_fe,d_eja_mu,d_eja_pa,d_es_es,d_es_fe,d_es_mu,d_es_pa,do_cre_es,do_cre_mu,do_cre_pa,do_fu_es,do_fu_mu,do_fu_pa,do_me_es,do_me_fe,do_me_mu,do_me_pa,do_pre_es,do_pre_mu,do_pre_pa,do_pro_es,do_pro_fe,do_pro_mu,do_pro_pa
1706100,2,,,Cristalândia,0.15291555,3.19867225,5,0,1,0,36,0,8,0,0,4,0,33,13,0,18,0,0,0,0,9,0,0,0,0,0
1715002,1,,,Nova Rosalândia,0.04252217,1.39341439,8,0,0,0,12,0,4,0,0,4,0,25,10,0,12,0,0,0,0,7,0,0,0,0,0
1717909,2,,,Ponte Alta do Tocantins,0.54079102,6.00253817,0,0,5,8,19,0,3,21,0,8,0,32,37,3,19,0,0,0,0,10,0,7,0,0,19
1718451,0,,,Pugmil,0.03312397,1.09719514,8,0,0,0,10,0,3,0,0,7,0,10,20,0,11,0,0,0,0,6,0,0,0,0,0
1713601,0,,,Monte do Carmo,0.29765234,3.48230201,5,0,0,0,38,0,30,0,0,6,0,29,43,0,18,0,0,0,0,12,0,10,0,0,0
1719004,1,,,Santa Tereza do Tocantins,0.04452909,1.17084972,0,0,0,0,9,0,20,0,0,0,0,7,26,0,9,0,0,0,0,4,0,0,0,0,0
1711951,0,,,Lagoa do Tocantins,0.07574767,1.86149769,0,0,6,0,13,0,19,0,0,0,0,16,36,0,16,0,0,0,0,13,0,0,0,0,0
1716109,1,,,Paraíso do Tocantins,0.10663207,2.32733316,63,0,10,10,168,6,60,31,2,21,7,158,119,55,123,43,0,19,0,37,27,0,51,0,7
1718204,3,,,Porto Nacional,0.36630378,4.91571484,67,0,14,6,242,18,62,41,3,127,13,236,143,85,144,29,0,22,0,47,29,47,48,0,7
1704600,0,,,Chapada de Areia,0.05433302,2.10066675,0,0,0,0,0,0,12,0,0,0,0,0,14,0,0,0,0,0,0,4,0,0,0,0,0
1721000,4,,,Palmas,0.18379039,3.07275128,245,29,132,28,671,83,1175,225,3,733,88,392,968,420,521,127,0,179,1,327,124,84,178,26,60
1715101,3,,,Novo Acordo,0.22095564,3.47995286,0,0,0,0,25,0,8,0,0,6,0,22,23,0,19,0,0,0,0,9,0,0,0,0,0
1720150,1,,,São Félix do Tocantins,0.15755737,3.10233608,0,0,0,0,11,0,0,0,0,0,0,12,7,0,9,0,0,0,0,5,0,0,0,0,0
1713700,2,,,Monte Santo do Tocantins,0.08847385,2.32616774,0,0,0,0,0,0,4,0,0,0,0,0,36,0,0,0,0,0,0,3,0,0,0,0,0
1701101,0,,,Aparecida do Rio Negro,0.09557296,1.8260376,0,0,0,0,20,0,23,0,0,0,0,19,29,0,14,0,0,0,0,6,0,0,0,0,0
1703107,0,,,Barrolândia,0.05751485,1.74372912,4,0,0,0,25,0,14,0,0,4,0,22,22,0,14,0,0,0,0,7,0,0,0,0,0
1712009,1,,,Lajeado,0.02623502,0.95012863,8,0,6,0,12,0,22,0,0,4,0,10,28,0,14,0,0,0,0,7,0,0,0,0,0
1712504,1,,,Marianópolis do Tocantins,0.17219996,2.79480356,9,0,5,0,17,0,13,0,0,9,0,14,32,0,13,0,0,0,0,8,0,0,0,0,0
1713205,2,,,Miracema do Tocantins,0.21949634,3.59799081,41,0,3,0,114,0,32,7,2,34,4,86,85,19,51,0,0,0,0,20,13,6,0,0,0
