cod_ibge_1,nome,abe,ta_ef_eru,ta_ef_eur,ta_ef_mru,ta_ef_mur,ta_ef_pru,ta_ef_pur,ta_em_eru,ta_em_eur,ta_em_fru,ta_em_fur,ta_em_mru,ta_em_pur
1707207,Dois Irmãos do Tocantins,0,0,0,92.2,94.2,0,0,0,88.6,0,0,0,0
1703305,Bom Jesus do Tocantins,0,0,98,98,99.4,0,0,0,97.3,0,0,0,0
1704105,Centenário,0,0,91.3,86.5,83.3,0,0,0,89.1,0,0,0,0
1721257,Tupirama,0,0,0,0,95.7,0,0,0,96,0,0,0,0
1708304,Goianorte,0,98.5,0,0,95.5,0,0,0,97.3,0,0,0,0
1718881,Santa Maria do Tocantins,0,0,0,0,87.9,0,0,0,94.3,0,0,0,0
1716703,Colméia,0,76.9,0,89.4,91.8,0,100,80.6,86.9,0,0,0,0
1701903,Araguacema,0,0,91.4,96.2,97.9,0,0,0,88.7,0,0,0,0
1718501,Recursolândia,0,0,0,91.4,88.2,0,0,0,94.5,0,0,0,0
1718402,Presidente Kennedy,0,0,0,0,93.9,0,0,0,98.6,0,0,0,0
1706001,Couto de Magalhães,0,81.9,0,91.2,85.9,0,0,93.3,79.7,0,0,0,0
1711100,Itaporã do Tocantins,0,0,0,0,95.8,0,0,0,81.7,0,0,0,0
1710508,Itacajá,0,84.6,0,94.6,96.2,0,0,76.1,91.3,0,0,0,0
1703602,Brasilândia do Tocantins,0,0,0,0,97.8,0,0,0,87.9,0,0,0,0
1721307,Tupiratins,0,0,78.4,90.2,91.3,0,0,0,78.1,0,0,0,0
1716653,Pequizeiro,0,0,0,94.5,91.9,0,0,0,94.7,0,0,0,0
1711803,Juarina,0,0,72.7,0,91.5,0,0,0,82.3,0,0,0,0
1710904,Itapiratins,0,0,0,95.3,95,0,0,0,81.6,0,0,0,0
1703842,Campos Lindos,0,0,0,82.1,79.9,0,0,0,69.6,0,0,0,0
1705508,Colinas do Tocantins,,0,0,0,92.4,0,99.4,0,72.6,76.3,0,92.1,94.8
1703206,Bernardo Sayão,0,0,0,93.2,92.3,0,0,0,79.7,0,0,0,0
1703057,Bandeirantes do Tocantins,0,0,0,96.1,88.8,0,0,0,96,0,0,0,0
1702307,Arapoema,0,0,91.9,0,92.2,0,0,0,83.3,0,0,0,0
1709005,Goiatins,0,70.7,0,90.6,88.8,0,0,75.8,88.7,0,0,0,0
1715705,Palmeirante,0,0,83.6,86.7,96.5,0,0,0,91.7,0,0,0,0
1714880,Nova Olinda,0,0,86.8,80.5,84.1,0,77.7,0,83.6,0,0,0,0
1703073,Barra do Ouro,0,90.5,0,91.8,79.4,0,0,86.4,87.2,0,0,0,0
1716307,Pau d'Arco,0,0,0,0,85,0,0,0,0,0,0,0,0
1707702,Filadélfia,0,0,0,88.8,94.2,0,0,0,77.1,0,0,0,0
1702109,Araguaína,0,0,0,100,98.1,0,97,0,75.8,90.4,0,0,90.5
1703883,Carmolândia,0,0,0,0,87.4,0,0,0,84.9,0,0,0,0
1703008,Babaçulândia,0,0,0,93.7,94.5,0,0,0,89.8,0,0,0,0
1718865,Santa Fé do Araguaia,0,86.5,0,90.4,94.2,0,100,76.9,79,0,0,0,0
1713957,Muricilândia,0,0,88.1,91.1,94.6,0,0,0,93.4,0,0,0,0
1701309,Aragominas,0,0,0,92.2,91.2,0,0,0,79.8,0,0,0,0
1722081,Wanderlândia,0,0,0,82.3,97,0,100,0,89.5,0,0,0,0
1706506,Darcinópolis,0,0,0,90.6,89,0,0,0,83.4,0,0,0,0
1702158,Araguanã,0,0,0,91.9,95.6,0,0,0,87.1,0,0,0,0
1713809,Palmeiras do Tocantins,0,0,0,85.4,93.7,0,0,0,85,0,0,0,0
1717206,Piraquê,0,0,89.3,82.5,88.8,0,0,0,90.6,0,0,0,0
1700301,Aguiarnópolis,0,0,0,62.5,87.1,0,0,0,84.8,0,0,0,0
1720002,Santa Terezinha do Tocantins,0,0,87.9,92.2,91.2,0,0,0,90.1,0,0,0,0
1718550,Riachinho,0,0,0,72.5,77.5,0,0,0,78.8,0,0,0,0
1722107,Xambioá,0,0,0,94.9,96.7,0,100,0,86.8,0,0,0,0
1701051,Angico,0,0,0,90,87.2,0,0,0,79.4,0,0,0,0
1714302,Nazaré,0,97.2,0,94.7,85.4,0,0,94,78.2,0,0,0,0
1712454,Luzinópolis,0,0,0,93.3,94.8,0,0,0,89.8,0,0,0,0
1721208,Tocantinópolis,0,74.6,0,95.3,96.2,0,99.5,68.5,78.1,0,0,0,0
1703826,Cachoeirinha,0,0,88.6,0,94,0,0,0,87.9,0,0,0,0
1701002,Ananás,0,95.5,0,97.6,94.7,0,0,93,77.6,0,0,0,0
1712801,Maurilândia do Tocantins,0,0,0,94.6,86.3,0,0,0,86.4,0,0,0,0
1720101,São Bento do Tocantins,0,75.9,0,94.7,85.3,0,0,83.6,80.5,0,0,0,0
1710706,Itaguatins,0,0,0,91.4,88.7,0,0,0,91.6,0,0,0,0
1702901,Axixá do Tocantins,0,0,0,97.8,90.3,0,0,0,81.4,0,0,0,0
1720804,Sítio Novo do Tocantins,0,78.2,77.1,89.8,85.3,0,0,75.3,65.9,0,0,0,0
