cod_ibge_1,color,nome,shape_area,shape_leng,cod_ibge,last_modification_1,modified_by_1,ndc_est_ru,ndc_est_ur,ndc_mun_ru,ndc_mun_u,ndc_mun_ur,ndc_pa_ru,ndc_pa_ur,nde_e_ru,nde_e_ur,nde_m_ur,nde_pa_ur,ndeja_e_r,ndeja_e_ru,ndeja_e_u,ndeja_e_ur,ndeja_m_ru,ndeja_m_u,ndeja_m_ur,ndeja_p_ru,ndeja_p_u,ndeja_p_ur,ndeja_ur_f,ndf_es_ru,ndf_es_ur,ndf_mun_ru,ndf_mun_ur,ndf_pa_ru,ndf_pa_ur,ndm_es_ru,ndm_es_ur,ndm_mun_ru,ndm_mun_ur,ndm_pa_ru,ndm_pa_ur,ndm_ru_fe,ndm_ur_fe,ndp_es_ru,ndp_es_u,ndp_es_ur,ndp_mun_ru,ndp_pa_r,ndp_pa_ru,ndp_pa_u,ndp_pa_ur,ndp_ru_fe,ndp_ur_fe
1720499,0,São Valério da Natividade,0.20907252,4.22019351,1720499,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,21,14,22,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705102,1,Chapada da Natividade,0.13598089,2.43800909,1705102,,,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,15,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1714203,2,Natividade,0.26889149,4.45987163,1714203,,,0,0,0,6,11,0,0,0,7,0,0,0,0,9,9,0,13,0,0,0,0,0,0,69,7,21,0,6,0,20,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0
1718907,2,Santa Rosa do Tocantins,0.14948567,2.66287868,1718907,,,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,21,12,17,0,3,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
1700350,0,Aliança do Tocantins,0.13092758,2.68385483,1700350,,,0,0,1,5,6,0,0,0,10,0,0,0,0,5,8,0,0,0,0,0,0,0,0,28,5,18,0,0,0,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1706258,1,Crixás do Tocantins,0.08142482,2.26875794,1706258,,,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707306,3,Dueré,0.28336958,4.05033347,1707306,,,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700400,4,Almas,0.331959,4.745752,1700400,,,0,0,0,4,11,0,1,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,4,32,10,28,0,3,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1717008,0,Pindorama do Tocantins,0.12915935,2.7662943,1717008,,,0,0,0,4,6,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,28,2,23,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1709807,0,Ipueiras,0.0679572,1.37116414,1709807,,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,9,9,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1720655,1,Silvanópolis,0.10417223,2.80122118,1720655,,,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703701,4,Brejinho de Nazaré,0.14250887,2.54690339,1703701,,,0,0,0,6,8,0,1,0,0,0,0,0,0,13,11,0,0,0,0,0,0,0,0,28,2,25,0,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1718899,0,Santa Rita do Tocantins,0.2713996,3.4894276,1718899,,,0,0,0,3,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,11,7,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1707553,1,Fátima,0.03144529,0.9773483,1707553,,,0,0,0,4,7,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,16,0,18,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1715507,0,Oliveira de Fátima,0.01729455,0.74226275,1715507,,,0,0,0,0,4,0,0,0,0,0,0,0,0,1,4,0,9,0,0,0,0,0,0,0,0,22,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1711902,1,Lagoa da Confusão,0.87459203,4.85845752,1711902,,,0,0,0,5,10,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,53,24,10,35,0,8,29,23,8,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0
1706100,2,Cristalândia,0.15291555,3.19867225,1706100,,,0,0,0,4,11,0,0,0,4,0,0,0,0,0,9,0,1,0,0,0,0,0,0,42,0,13,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1715002,1,Nova Rosalândia,0.04252217,1.39341439,1715002,,,0,0,0,4,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,21,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1717909,2,Ponte Alta do Tocantins,0.54079102,6.00253817,1717909,,,0,0,0,11,10,0,0,0,0,9,0,0,0,0,7,0,5,0,0,0,0,0,0,36,19,19,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
1718451,0,Pugmil,0.03312397,1.09719514,1718451,,,0,0,0,7,3,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,12,0,18,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713601,0,Monte do Carmo,0.29765234,3.48230201,1713601,,,0,0,0,3,7,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,8,24,29,17,0,0,14,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1719004,1,Santa Tereza do Tocantins,0.04452909,1.17084972,1719004,,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,17,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1711951,0,Lagoa do Tocantins,0.07574767,1.86149769,1711951,,,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,20,6,25,0,0,0,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1716109,1,Paraíso do Tocantins,0.10663207,2.32733316,1716109,,,0,2,0,20,41,0,6,0,24,0,0,0,0,2,40,0,9,0,0,3,8,0,0,169,10,90,0,62,0,128,0,0,0,21,0,41,0,0,4,5,0,0,18,26,0,2
1718204,3,Porto Nacional,0.36630378,4.91571484,1718204,,,0,2,10,97,42,1,16,0,15,0,0,0,0,6,51,5,12,0,0,3,3,8,58,188,54,67,4,78,62,95,0,0,0,28,0,23,0,0,1,17,0,2,9,25,0,22
1704600,0,Chapada de Areia,0.05433302,2.10066675,1704600,,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1721000,4,Palmas,0.18379039,3.07275128,1721000,,,0,3,0,596,166,0,87,0,34,0,0,5,4,36,211,0,94,0,0,0,25,18,8,426,88,840,0,463,0,563,0,0,0,222,0,67,0,11,1,7,0,0,59,122,0,57
