cod_ibge,nome,nmc_mru,nmc_mur,nmc_pru,nmc_pur,nmee_eur,nmee_mur,nmee_pur,nmee_ru,nmeef_eru,nmeef_eur,nmeef_mru,nmeef_pur,nmeem_eru,nmeem_eur,nmeem_fur,nmeem_mur,nmeem_pru,nmeem_pur,nmef_eru,nmef_eur,nmef_mru,nmef_mu,nmef_mur,nmef_pru,nmef_pur,nmem_eru,nmem_eur,nmem_mru,nmem_pru,nmem_pur,nmem_ruf,nmem_urf,nmep_eur,nmep_fru,nmep_fur,nmep_pru,nmep_pur,nmpe_mru,nmpe_mur,nmpe_pru,nmpe_pur
1709807,Ipueiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,85,28,139,0,0,0,64,0,0,0,0,0,0,0,0,0,0,14,43,0,0
1720655,Silvanópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,0,531,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,184,0,0
1703701,Brejinho de Nazaré,0,78,0,4,0,0,0,0,0,79,0,0,0,56,0,0,0,0,0,359,23,0,539,0,7,0,210,0,0,0,0,0,0,0,0,0,0,4,154,0,11
1718899,Santa Rita do Tocantins,0,17,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,87,167,0,141,0,0,0,78,0,0,0,0,0,0,0,0,0,0,15,20,0,0
1707553,Fátima,0,59,0,0,30,0,0,0,0,0,0,0,0,10,0,0,0,0,0,323,0,0,323,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,112,0,0
1715507,Oliveira de Fátima,0,0,0,0,0,0,0,0,0,11,0,0,0,41,0,0,0,0,0,0,0,137,302,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,58,0,0
1711902,Lagoa da Confusão,0,190,0,0,23,0,0,0,0,0,0,0,0,79,0,0,0,0,692,490,86,0,1029,0,83,110,384,24,0,0,0,0,0,0,0,0,0,11,289,0,42
1706100,Cristalândia,0,60,0,0,31,0,0,0,0,0,0,0,0,37,0,0,0,0,0,882,0,9,298,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,215,0,0
1715002,Nova Rosalândia,0,59,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,67,277,0,0,201,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,104,0,0
1717909,Ponte Alta do Tocantins,0,119,0,0,0,52,0,0,0,0,0,0,0,18,0,0,0,0,0,794,207,16,294,0,0,0,372,0,0,0,0,0,0,0,0,0,32,0,189,0,0
1718451,Pugmil,0,63,0,0,0,0,0,0,0,37,0,0,0,41,0,0,0,0,0,117,0,0,300,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,63,0,0
1713601,Monte do Carmo,0,44,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,156,371,314,15,237,0,0,148,129,0,0,0,0,0,0,0,0,0,0,10,113,0,0
1719004,Santa Tereza do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,107,0,361,0,0,0,149,0,0,0,0,0,0,0,0,0,0,17,68,0,0
1711951,Lagoa do Tocantins,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,55,47,461,0,0,0,203,0,0,0,0,0,0,0,0,0,0,12,129,0,0
1716109,Paraíso do Tocantins,0,220,0,81,136,0,0,0,0,32,0,19,0,287,0,0,0,44,0,3805,132,129,2264,0,1109,0,1799,0,0,192,0,347,0,0,15,0,108,80,939,0,420
1718204,Porto Nacional,46,528,10,236,93,0,0,0,0,20,66,42,0,557,11,0,0,11,867,4025,835,160,1469,42,1612,483,1888,0,0,304,0,140,0,0,84,0,168,281,993,17,502
1704600,Chapada de Areia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
1721000,Palmas,0,4285,0,1163,138,0,0,0,43,268,0,0,14,2364,161,0,0,302,64,8707,1022,1769,21110,0,7565,0,11165,0,0,1769,0,525,46,0,748,0,1295,138,4741,0,2126
1715101,Novo Acordo,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,82,0,309,0,0,0,240,0,0,0,0,0,0,0,0,0,0,7,105,0,0
1720150,São Félix do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,65,0,27,0,0,0,88,0,0,0,0,0,0,0,0,0,0,32,34,0,0
1713700,Monte Santo do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,8,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,58,0,0
1701101,Aparecida do Rio Negro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,652,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,156,0,0
1703107,Barrolândia,0,57,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,0,0,411,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,143,0,0
1712009,Lajeado,0,122,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,126,117,41,326,0,0,0,137,0,0,0,0,0,0,0,0,0,0,26,95,0,0
1712504,Marianópolis do Tocantins,0,126,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,282,333,29,196,0,0,0,170,0,0,0,0,0,0,0,0,0,0,44,54,0,0
1713205,Miracema do Tocantins,0,183,0,39,64,0,0,0,0,183,0,0,0,241,0,0,0,0,0,2299,436,0,620,0,160,0,806,0,0,0,0,0,58,0,0,0,0,54,392,0,109
1707108,Divinópolis do Tocantins,0,152,0,0,0,17,0,0,0,15,0,0,0,16,0,0,0,0,0,471,0,0,615,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,204,0,0
1721109,Tocantínia,0,108,0,0,0,0,0,0,131,36,52,0,47,63,0,0,0,0,879,403,176,26,319,0,0,98,210,0,0,0,0,0,0,0,0,0,0,28,207,0,0
1718758,Rio Sono,24,60,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,154,450,387,0,44,0,0,50,202,0,0,0,0,0,0,0,0,0,0,53,47,0,0
1717503,Pium,0,82,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,427,275,19,300,0,0,0,282,0,0,0,0,0,0,0,0,0,26,38,103,0,0
1713304,Miranorte,0,42,0,5,70,0,0,0,0,40,0,0,0,98,0,0,0,0,0,811,243,22,876,0,185,0,571,0,0,0,0,0,0,0,0,0,0,34,228,0,43
1700251,Abreulândia,0,15,0,0,0,0,0,0,0,9,0,0,0,32,0,0,0,0,0,226,78,0,225,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,68,0,0
1703909,Caseara,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,94,0,355,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,158,0,0
1718709,Rio dos Bois,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,71,20,33,0,0,0,94,0,0,0,0,0,0,0,0,0,0,12,54,0,0
1716505,Pedro Afonso,0,121,0,37,73,0,0,0,0,62,0,0,0,138,0,0,0,0,157,843,21,17,1045,0,94,39,651,0,0,8,0,0,0,0,239,0,64,0,353,0,27
1708254,Tabocão,0,63,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,9,515,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,118,0,0
1712405,Lizarda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,355,87,13,192,0,0,0,169,0,0,0,0,0,0,0,0,0,0,6,92,0,0
1707207,Dois Irmãos do Tocantins,0,66,0,0,46,0,0,0,0,0,0,0,0,18,0,0,0,0,0,414,255,11,408,0,0,0,200,0,0,0,0,0,0,0,0,0,0,24,81,0,0
1703305,Bom Jesus do Tocantins,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,109,31,275,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,130,0,0
1704105,Centenário,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,53,0,279,0,0,0,138,0,0,0,0,0,0,0,0,0,0,3,14,0,0
1721257,Tupirama,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,105,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,68,0,0
1708304,Goianorte,0,0,0,0,54,0,0,0,0,25,0,0,0,43,0,0,0,0,85,422,0,0,317,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,91,0,0
1718881,Santa Maria do Tocantins,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,113,23,9,342,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,82,0,0
1716703,Colméia,0,84,0,8,96,0,0,0,0,25,11,0,0,99,0,0,0,0,61,539,44,15,680,0,21,37,379,0,0,0,0,0,0,0,0,0,0,13,212,0,4
1701903,Araguacema,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,426,0,296,0,0,0,338,0,0,0,0,0,0,0,0,0,0,54,79,0,0
1718501,Recursolândia,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,208,0,465,0,0,0,196,0,0,0,0,0,0,0,0,0,0,11,102,0,0
1718402,Presidente Kennedy,0,0,0,0,0,0,0,0,0,18,0,0,0,36,0,0,0,0,0,273,0,0,308,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,64,0,0
1706001,Couto de Magalhães,0,85,0,0,62,0,0,0,0,15,0,0,0,25,0,0,0,0,80,194,263,0,460,0,0,13,231,0,0,0,0,0,0,0,0,0,0,22,114,0,0
1711100,Itaporã do Tocantins,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,237,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,39,0,0
1710508,Itacajá,0,0,0,0,0,0,0,0,0,16,0,0,0,48,0,0,0,0,448,615,128,0,312,0,0,188,343,0,0,0,0,0,0,0,0,0,0,0,149,0,0
1703602,Brasilândia do Tocantins,0,74,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,150,0,11,222,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,65,0,0
1721307,Tupiratins,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,57,0,125,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,52,0,0
