cod_ibge,nome,cod_ibge_1_1,nome_1,ti_snf_eur,ti_stf_eru,ti_stf_mru,ti_stf_mur,ti_stf_pru,ti_stf_pur,ti_stm_eru,ti_stm_eur,ti_stm_fru,ti_stm_fur,ti_stm_mru,ti_stm_pru,ti_stm_pur
1701101,Aparecida do Rio Negro,1701101,Aparecida do Rio Negro,24.6,0,0,17.1,0,0,0,33,0,0,0,0,0
1703107,Barrolândia,1703107,BarrolÃ¢ndia,29.5,0,0,8.8,0,0,0,36,0,0,0,0,0
1712009,Lajeado,1712009,Lajeado,28,0,27,18.7,0,0,0,26.5,0,0,0,0,0
1712504,Marianópolis do Tocantins,1712504,MarianÃ³polis do Tocantins,23.2,0,34,14.8,0,0,0,35.7,0,0,0,0,0
1713205,Miracema do Tocantins,1713205,Miracema do Tocantins,25.7,0,34,28.3,0,1,0,34.9,0,0,0,0,0
1707108,Divinópolis do Tocantins,1707108,DivinÃ³polis do Tocantins,24.5,0,0,12.5,0,0,0,28.5,0,0,0,0,0
1721109,Tocantínia,1721109,TocantÃ­nia,37.8,51,35,19.5,0,0,76,47.1,0,0,0,0,0
1718758,Rio Sono,1718758,Rio Sono,22.3,33,33,0,0,0,63,45.8,0,0,0,0,0
1717503,Pium,1717503,Pium,17.2,0,29,22.9,0,0,0,38.7,0,0,0,0,0
1713304,Miranorte,1713304,Miranorte,15.6,0,22,23.8,0,2,0,33.4,0,0,0,0,0
1700251,Abreulândia,1700251,AbreulÃ¢ndia,25.7,0,24,11.1,0,0,0,47.9,0,0,0,0,0
1703909,Caseara,1703909,Caseara,27.1,0,17,7.5,0,0,0,36.9,0,0,0,0,0
1718709,Rio dos Bois,1718709,Rio dos Bois,31.3,0,39,5.3,0,0,0,43.4,0,0,0,0,0
1716505,Pedro Afonso,1716505,Pedro Afonso,19.7,21,6,9.8,0,3,26,24.7,0,0,0,0,0
1708254,Tabocão,1708254,Fortaleza do TabocÃ£o,20.6,0,0,14.9,0,0,0,41.3,0,0,0,0,0
1712405,Lizarda,1712405,Lizarda,33.3,51,47,19.2,0,0,0,45.1,0,0,0,0,0
1707207,Dois Irmãos do Tocantins,1707207,Dois IrmÃ£os do Tocantins,30.8,0,27,12.9,0,0,0,27.1,0,0,0,0,0
1703305,Bom Jesus do Tocantins,1703305,Bom Jesus do Tocantins,20.7,0,29,13.7,0,0,0,35.8,0,0,0,0,0
1704105,Centenário,1704105,CentenÃ¡rio,18.9,0,22,26.7,0,0,0,41.8,0,0,0,0,0
1721257,Tupirama,1721257,Tupirama,19.9,0,0,1.8,0,0,0,12.5,0,0,0,0,0
