cod_ibge,nome,nume_cid,pgai,tipo_cidd,regiao_num,territ_cid,utr,criacao,area,pop_1996,pop_2000,pop_2007,pop_2008,pop_2009,assoc_mun,reg_pm,art_pm,region_ibg,cod_region,pop_2010,ppa_2012_2,number,regionaliz,areaoficia,reg_tur,nova_regio,nova_reg_o,muncipio,grup_idade,total_2000,tot_hom_00,tot_mul_00,urb_tot_00,urb_hom_00,urb_mul_00,rur_tot_00,rur_hom_00,rur_mul_00,total_2010,tot_hom_10,tot_mul_10,urb_tot_10,urb_hom_10,urb_mul_10,rur_tot_10,rur_hom_10,rur_mul_10
1720937,Taipas do Tocantins,128-Taipas do Tocantins,Outros,Menor impacto re,XV,Sudeste,Regiao Sudeste,1993,1167,1722,1713,1916,1974,1999,Portal do Sudeste-Assoc. Municipios do Sudeste,2ª CIPM - Dianópolis,2ª CIPM,Dianópolis,17008,1945,Dianópolis,131,Região Sudeste,1116.195,Sem Região,Área-Programa Sudeste,X,Taipas do Tocantins,Total,1713,932,781,1103,589,514,610,343,267,1945,1017,928,1557,799,758,388,218,170
1720853,Sucupira,121-Sucupira,Outros,Menor impacto re,XIV,,<Null>,1993,1026,1303,1476,1667,1718,1741,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Gurupi,17005,1734,Gurupi,112,Região Metropolitana de Gurupi,1025.515,Sem Região,Área-Programa Sul,IX,Sucupira,Total,1476,799,677,864,466,398,612,333,279,1742,894,848,1106,549,557,636,345,291
1705607,Conceição do Tocantins,134-Conceição do Tocantins,Outros,Menor impacto re,XVII,Sudeste,Regiao Sudeste,1963,2501,4393,4371,4402,4529,4541,Portal do Sudeste-Assoc. Municipios do Sudeste,2ª CIPM - Dianópolis,2ª CIPM,Dianópolis,17008,4182,Dianópolis,129,Região Sudeste,2500.733,Sem Região,Área-Programa Sudeste,X,Conceição do Tocantins,Total,4377,2242,2135,2335,1143,1192,2042,1099,943,4182,2132,2050,2911,1414,1497,1271,718,553
1703867,Cariri do Tocantins,112-Cariri do Tocantins,Outros,Menor impacto re,XIV,,<Null>,1993,1129,2473,2990,3562,3672,3738,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Gurupi,17005,3753,Gurupi,111,Região Metropolitana de Gurupi,1128.596,Sem Região,Área-Programa Sul,IX,Cariri do Tocantins,Total,2990,1645,1345,1942,986,956,1048,659,389,3756,2106,1650,2093,1040,1053,1663,1066,597
1708205,Formoso do Araguaia,116-Formoso do Araguaia,Javaés,Capital,XIV,,<Null>,1963,13423,18385,18817,18225,18743,18719,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Rio Formoso,17004,18251,Gurupi,104,Região Metropolitana de Gurupi,13423.256,Ilha do Bananal,Área-Programa  Sudoeste( Ilha do Bananal),VIII,Formoso do Araguaia,Total,18817,9760,9057,13258,6710,6548,5559,3050,2509,18427,9607,8820,13333,6808,6525,5094,2799,2295
1716604,Peixe,119-Peixe,Outros,Menor impacto re,XIV,,<Null>,1895,5291,8740,8763,8750,9002,9018,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Gurupi,17005,10364,Gurupi,113,Região Metropolitana de Gurupi,5291.182,Ilha do Bananal,Área-Programa Sul,IX,Peixe,Total,8763,4679,4084,3672,1806,1866,5091,2873,2218,10384,5427,4957,5235,2624,2611,5149,2803,2346
1709500,Gurupi,117-Gurupi,Outros,Capital,XIV,,<Null>,1958,1836,64725,65034,71413,73548,74357,,4º BPM - Gurupi,4º BPM,Gurupi,17005,76275,Gurupi,110,Região Metropolitana de Gurupi,1836.081,Ilha do Bananal,Área-Programa Sul,IX,Gurupi,Total,65034,32021,33013,63486,31126,32360,1548,895,653,76755,38107,38648,75000,37097,37903,1755,1010,745
1718006,Porto Alegre do Tocantins,126-Porto Alegre do Tocantins,Outros,Menor impacto re,XV,Sudeste,Regiao Sudeste,1988,502,2463,2393,2830,2917,2968,Portal do Sudeste-Assoc. Municipios do Sudeste,2ª CIPM - Dianópolis,2ª CIPM,Dianópolis,17008,2794,Dianópolis,126,Região Sudeste,501.97,Sem Região,Área-Programa Sudeste,X,Porto Alegre do Tocantins,Total,2393,1239,1154,1566,771,796,827,468,358,2796,1431,1365,1919,941,978,877,490,387
1720499,São Valério da Natividade,107-São Valério da Natividade,Outros,Menor impacto re,XIII,Sudeste,Regiao Sudeste,1980,2520,4807,5054,4885,5024,5017,,4º BPM - Gurupi,4º BPM,Dianópolis,17008,4383,Dianópolis,120,Região Sudeste,2519.572,Sem Região,Área-Programa Sudeste,X,São Valério,Total,5054,2711,2343,2138,1036,1102,2916,1675,1241,4383,2267,2116,2723,1332,1391,1660,935,725
1705102,Chapada da Natividade,103-Chapada da Natividade,Outros,Menor impacto re,XIII,Sudeste,Regiao Sudeste,1997,1671,0,3274,3680,3791,3840,Portal do Sudeste-Assoc. Municipios do Sudeste,2ª CIPM - Dianópolis,2ª CIPM,Dianópolis,17008,3276,Dianópolis,122,Região Sudeste,1671.256,Sem Região,Área-Programa Sudeste,X,Chapada da Natividade,Total,3274,1826,1448,1419,765,654,1855,1061,794,3277,1792,1485,1656,839,817,1621,953,668
1714203,Natividade,104-Natividade,Outros,Menor impacto re,XIII,Sudeste,Regiao Sudeste,1734,3216,11623,8867,9090,9355,9396,Portal do Sudeste-Assoc. Municipios do Sudeste,2ª CIPM - Dianópolis,2ª CIPM,Dianópolis,17008,9000,Dianópolis,124,Região Sudeste,3215.903,Serras Gerais,Área-Programa Sudeste,X,Natividade,Total,8867,4498,4369,6399,3181,3218,2468,1317,1151,9000,4596,4404,7195,3545,3650,1805,1051,754
