ano,sigla_uf,quantidade_cvli,quantidade_feminicidio,quantidade_ocorrencia_homicidio_doloso,quantidade_vitima_homicidio_doloso,quantidade_latrocinio,quantidade_lesao_corporal_seguida_de_morte,quantidade_morte_a_esclarecer,quantidade_morte_intervencao_policial_civil_servico,quantidade_morte_intervencao_policial_civil_fora_servico,quantidade_morte_intervencao_policial_militar_servico,quantidade_morte_intervencao_policial_militar_fora_servico,quantidade_morte_violenta_intencional,quantidade_policial_civil_morto_confronto_servico,quantidade_policial_civil_morto_confronto_fora_servico,quantidade_policial_militar_morto_confronto_servico,quantidade_policial_militar_morto_confronto_fora_servico,quantidade_suicidio,quantidade_estupro,quantidade_tentativa_estupro,quantidade_furto_veiculo,quantidade_roubo_instituicao_financeira,quantidade_roubo_carga,quantidade_roubo_de_veiculo,quantidade_arma_fogo_apreendida,quantidade_registro_pessoa_desaparecida,quantidade_populacao_sistema_penitenciario,despesa_empenhada_seguranca_publica
2008,PI,309,0,303,0,3,3,53,0,0,0,0,0,0,0,0,0,82,0,0,0,4,1,375,0,102,0,0.0
2008,PR,2950,0,2831,0,50,69,1756,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,6972,0,3535,0,0.0
2008,RJ,5464,0,5235,0,185,44,1893,0,0,0,0,0,0,0,0,0,287,0,0,0,47,3172,27847,0,5095,0,0.0
2008,RN,972,0,718,0,22,63,143,0,0,0,0,0,0,0,0,0,85,0,0,0,6,29,1314,0,33,0,0.0
2008,RO,451,0,424,0,17,10,232,0,0,0,0,0,0,0,0,0,68,0,0,0,1,6,531,0,668,0,0.0
2008,RR,40,0,39,0,0,1,42,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,35,0,,0,0.0
2008,RS,2470,0,2276,0,100,94,0,0,0,0,0,0,0,0,0,0,1240,0,0,0,99,414,14207,0,8078,0,0.0
2008,SC,833,0,760,0,30,43,516,0,0,0,0,0,0,0,0,0,456,0,0,0,36,131,1178,0,1992,0,0.0
2008,SE,539,0,516,0,15,8,304,0,0,0,0,0,0,0,0,0,28,0,0,0,6,29,469,0,63,0,0.0
2008,SP,4692,0,4426,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,6653,60895,0,15309,0,0.0
2008,TO,236,0,219,0,7,10,73,0,0,0,0,0,0,0,0,0,58,0,0,0,23,7,84,0,173,0,0.0
2009,AC,200,0,188,0,12,0,7,0,0,0,0,0,0,0,0,0,44,131,52,0,1,0,162,0,,0,0.0
2009,AL,1548,0,1506,0,30,12,0,0,0,0,0,0,0,0,0,0,76,142,26,0,46,121,1207,0,245,0,0.0
2009,AM,846,0,776,0,28,42,4,0,0,0,0,0,0,0,0,0,35,694,185,0,72,51,1903,0,508,0,0.0
2009,AP,96,0,88,0,1,7,2,0,0,0,0,0,0,0,0,0,15,169,21,0,,,,0,,0,0.0
2009,BA,4931,0,4581,0,133,217,660,0,0,0,0,0,0,0,0,0,442,2242,302,0,87,309,8698,0,,0,0.0
2009,CE,2382,0,2212,0,84,86,293,0,0,0,0,0,0,0,0,0,160,1145,80,0,13,100,3082,0,,0,0.0
2009,DF,812,0,757,0,52,3,50,0,0,0,0,0,0,0,0,0,118,601,49,0,7,11,2956,0,2869,0,0.0
2009,ES,786,0,765,0,13,8,104,0,0,0,0,0,0,0,0,0,73,226,25,0,15,2,847,0,2242,0,0.0
2009,GO,1573,0,1506,0,60,7,1279,0,0,0,0,0,0,0,0,0,177,1400,127,0,22,71,3169,0,,0,0.0
2009,MA,1273,0,1164,0,63,46,0,0,0,0,0,0,0,0,0,0,118,960,315,0,17,102,525,0,508,0,0.0
2009,MG,1998,0,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,321,937,430,0,21,,1960,0,,0,0.0
2009,MS,442,0,432,0,8,2,370,0,0,0,0,0,0,0,0,0,112,741,95,0,0,3,461,0,1249,0,0.0
2009,MT,885,0,811,0,55,19,305,0,0,0,0,0,0,0,0,0,173,1143,170,0,37,13,1898,0,,0,0.0
2009,PA,2866,0,2675,0,158,33,3,0,0,0,0,0,0,0,0,0,152,1554,5,0,113,236,3024,0,2016,0,0.0
2009,PB,1209,0,1176,0,27,6,69,0,0,0,0,0,0,0,0,0,86,257,52,0,15,15,317,0,76,0,0.0
2009,PE,3875,0,3751,0,112,12,791,0,0,0,0,0,0,0,0,0,331,1528,286,0,9,121,5647,0,1163,0,0.0
2009,PI,276,0,269,0,6,1,50,0,0,0,0,0,0,0,0,0,63,313,65,0,1,0,349,0,110,0,0.0
2009,PR,3271,0,3119,0,45,107,2123,0,0,0,0,0,0,0,0,0,244,1524,145,0,,,7121,0,3621,0,0.0
2009,RJ,5555,0,5318,0,197,40,1730,0,0,0,0,0,0,0,0,0,269,3778,392,0,97,2650,25036,0,5425,0,0.0
2009,RN,702,0,646,0,19,37,132,0,0,0,0,0,0,0,0,0,60,495,849,0,7,14,1318,0,50,0,0.0
2009,RO,520,0,503,0,15,2,269,0,0,0,0,0,0,0,0,0,74,569,200,0,5,4,656,0,839,0,0.0
2009,RR,59,0,56,0,2,1,82,0,0,0,0,0,0,0,0,0,18,363,45,0,1,1,48,0,,0,0.0
2009,RS,1813,0,1638,0,65,110,1174,0,0,0,0,0,0,0,0,0,919,3615,,0,69,286,12755,0,8287,0,0.0
2009,SC,883,0,731,0,58,94,221,0,0,0,0,0,0,0,0,0,526,3063,518,0,94,105,908,0,1968,0,0.0
2009,SE,593,0,556,0,27,10,370,0,0,0,0,0,0,0,0,0,33,330,2,0,2,13,550,0,82,0,0.0
2009,SP,4862,0,4559,0,303,0,0,0,0,0,0,0,0,0,0,0,0,5645,,0,253,6383,71844,0,18502,0,0.0
2009,TO,262,0,242,0,13,7,90,0,0,0,0,0,0,0,0,0,67,347,66,0,9,9,125,0,223,0,0.0
2010,AC,0,0,183,0,14,0,10,0,0,0,0,0,0,0,0,0,48,169,51,0,12,0,133,0,471,0,0.0
2010,AL,2183,0,2127,0,36,20,0,0,0,0,0,0,0,0,0,0,111,391,57,0,11,82,1262,0,283,0,0.0
2010,AM,982,0,916,0,46,20,38,0,0,0,0,0,0,0,0,0,28,1144,265,0,76,62,3925,0,594,0,0.0
2010,AP,30,0,26,0,1,3,0,0,0,0,0,0,0,0,0,0,8,66,8,0,0,0,0,0,,0,0.0
2010,BA,4829,0,4535,0,116,178,603,71,3,236,5,0,0,0,0,6,365,2160,287,0,250,270,8372,0,,0,0.0
2010,CE,2755,0,2647,0,48,60,521,0,0,0,0,0,0,0,0,0,390,577,0,0,,,4016,0,,0,0.0
2010,DF,854,0,657,0,139,58,129,0,0,0,0,0,0,0,0,0,204,760,219,0,40,104,2854,0,2820,0,0.0
2010,ES,1663,0,1626,0,16,21,484,0,0,0,0,0,0,0,0,0,121,885,73,0,72,46,2141,0,2965,0,0.0
2010,GO,1019,0,978,0,29,12,579,0,0,16,3,0,0,0,0,3,118,1141,89,0,9,47,1992,0,,0,0.0
2010,MA,1068,0,1006,0,27,35,0,0,0,0,0,0,0,0,0,0,73,845,247,0,9,46,425,0,720,0,0.0
2010,MG,0,0,2878,0,16,0,3054,0,0,0,0,0,0,0,0,0,17,2295,785,0,157,496,3486,0,,0,0.0
2010,MS,471,0,451,0,13,7,448,0,0,3,0,0,0,0,0,0,104,943,101,0,5,1,442,0,1296,0,0.0
2010,MT,949,0,871,0,47,31,257,1,0,5,4,0,3,1,1,1,171,1075,163,0,52,11,2031,0,,0,0.0
