ano,sigla_uf,id_municipio,grupo,quantidade_homicidio_doloso,quantidade_latrocinio,quantidade_lesao_corporal_morte,quantidade_mortes_policiais_confronto,quantidade_mortes_intervencao_policial,quantidade_mortes_intervencao_policial_civil_em_servico,quantidade_mortes_intervencao_policial_militar_em_servico,quantidade_mortes_intervencao_policial_civil_fora_de_servico,quantidade_mortes_intervencao_policial_militar_fora_de_servico,quantidade_mortes_violentas_intencionais,quantidade_feminicidio,quantidade_lesao_corporal_dolosa_violencia_domestica,quantidade_estupro,quantidade_roubo_veiculos,quantidade_furto_veiculos,quantidade_roubo_furto_veiculos,proporcao_mortes_intenvencao_policial_x_mortes_violentas_intencionais,quantidade_posse_ilegal_arma_de_fogo,quantidade_porte_ilegal_arma_de_fogo,quantidade_posse_ilegal_porte_ilegal_arma_de_fogo,quantidade_trafico_entorpecente,quantidade_posse_uso_entorpecente,quantidade_morte_policiais_civis_confronto_em_servico,quantidade_morte_policiais_militares_confronto_em_servico,quantidade_morte_policiais_civis_fora_de_servico,quantidade_morte_policiais_militares_fora_de_servico
2016,TO,1721000,Grupo 4,93,0,0,0,0,,,,,93,,,66,220,1431,1651,0.0,,,,,,0,0,0,0
2017,TO,1721000,Grupo 4,77,2,1,0,0,0,0,0,0,80,,,84,137,676,813,,,,,,,0,0,0,0
2018,TO,1721000,,65,3,1,0,4,,,,,73,,270,123,192,606,798,5.0,32,23,55,104,45,,,,
2019,TO,1721000,,59,7,2,0,7,,,,,75,1,593,114,166,597,763,9.0,38,37,75,217,64,,,,
2020,TO,1721000,Grupo 2,91,4,2,0,6,,,,,103,0,350,128,152,430,582,5.0,9,33,42,221,58,,,,
2021,TO,1721000,Grupo 2,55,2,0,0,13,,,,,70,7,399,157,121,460,581,18.0,5,33,38,170,53,,,,
