cod_ibge,ano,id_classe,classe,area
1700251,2008,12,2.2. Formação Campestre,144.6172493272108
1700251,2008,15,3.1. Pastagem,525.59883443665524
1700251,2008,21,3.4. Mosaico de Usos,16.58381037451176
1700251,2008,24,4.2. Área Urbanizada,0.67452168695068326
1700251,2008,25,4.4. Outras Áreas não Vegetadas,6.590001515747077
1700251,2008,3,1.1 Formação Florestal,230.1411268122601
1700251,2008,33,"5.1 Rio, Lago e Oceano",1.4428874197998
1700251,2008,39,3.2.1.1. Soja,0.33774051220703111
1700251,2008,4,1.2. Formação Savânica,969.15308004798874
1700251,2008,41,3.2.1.5. Outras Lavouras Temporárias,0.0423207858276367
1700251,2009,11,2.1. Campo Alagado e Área Pantanosa,10.883201373657309
1700251,2009,12,2.2. Formação Campestre,140.9936114895026
1700251,2009,15,3.1. Pastagem,540.59702398526053
1700251,2009,21,3.4. Mosaico de Usos,15.946341006103619
1700251,2009,24,4.2. Área Urbanizada,0.67804860754394491
1700251,2009,25,4.4. Outras Áreas não Vegetadas,6.4737429747925024
1700251,2009,3,1.1 Formação Florestal,230.2391920182543
1700251,2009,33,"5.1 Rio, Lago e Oceano",1.5929008660888611
1700251,2009,39,3.2.1.1. Soja,0.58915250439453049
1700251,2009,4,1.2. Formação Savânica,958.228696841154
1700251,2009,41,3.2.1.5. Outras Lavouras Temporárias,0.044968067565918
1700251,2010,11,2.1. Campo Alagado e Área Pantanosa,10.898169195861909
1700251,2010,12,2.2. Formação Campestre,139.2507637220462
1700251,2010,15,3.1. Pastagem,543.25760344913829
1700251,2010,21,3.4. Mosaico de Usos,15.54224248229988
1700251,2010,24,4.2. Área Urbanizada,0.68245724920654272
1700251,2010,25,4.4. Outras Áreas não Vegetadas,6.47117313269043
1700251,2010,3,1.1 Formação Florestal,228.79549371399321
1700251,2010,33,"5.1 Rio, Lago e Oceano",1.531150067138666
1700251,2010,39,3.2.1.1. Soja,2.2938260106811712
1700251,2010,4,1.2. Formação Savânica,957.486690489769
1700251,2010,41,3.2.1.5. Outras Lavouras Temporárias,0.057310221496582
1700251,2011,11,2.1. Campo Alagado e Área Pantanosa,11.003224913024971
1700251,2011,12,2.2. Formação Campestre,134.77087421435459
1700251,2011,15,3.1. Pastagem,550.62374828348709
1700251,2011,21,3.4. Mosaico de Usos,14.33250357043462
1700251,2011,24,4.2. Área Urbanizada,0.68333898388671832
1700251,2011,25,4.4. Outras Áreas não Vegetadas,6.2576916451416151
1700251,2011,3,1.1 Formação Florestal,224.63221421435981
