cod_ibge,nome,m_inf_2008,m_inf_2009,m_inf_2010,m_inf_2011,m_inf_2012,m_inf_2013,m_inf_2014,m_inf_2015
1713957,Muricilândia,13.16,15,34,0,0,20,0,65
1701309,Aragominas,11.49,11,14,25,11,0,0,0
1722081,Wanderlândia,23.53,6,14,0,22,7,6.6,0
1706506,Darcinópolis,9.09,33,22,10,22,21,9.4,9
1702158,Araguanã,9.8,0,0,31,11,28,24.7,11
1713809,Palmeiras do Tocantins,0,13,12,0,0,14,14.9,0
1717206,Piraquê,22.73,0,0,59,25,48,0,0
1700301,Aguiarnópolis,41.1,44,9,12,48,12,0,13
1720002,Santa Terezinha do Tocantins,0,0,27,0,0,30,0,29
1718550,Riachinho,0,12,16,0,0,32,0,0
1722107,Xambioá,6.25,17,25,8,4,13,3.9,8
1701051,Angico,0,0,0,19,43,0,25,0
1714302,Nazaré,0,0,0,66,16,34,0,0
1712454,Luzinópolis,34.48,37,17,0,0,23,0,0
1721208,Tocantinópolis,18.52,20,35,27,17,13,10.5,10
1703826,Cachoeirinha,0,28,0,0,37,0,0,0
1701002,Ananás,13.27,18,17,6,32,30,6.1,17
1712801,Maurilândia do Tocantins,29.41,20,0,0,40,0,78.9,0
1720101,São Bento do Tocantins,43.96,0,13,13,0,0,12,0
1710706,Itaguatins,18.35,11,0,36,23,10,12.7,29
1702901,Axixá do Tocantins,23.08,22,9,31,14,10,16,21
1720804,Sítio Novo do Tocantins,21.86,19,13,14,15,0,12.1,14
1720200,São Miguel do Tocantins,16.81,0,14,13,15,22,29.9,12
1702554,Augustinópolis,18.47,20,16,10,8,12,11.9,15
1718303,Praia Norte,0,0,7,16,14,0,16.7,15
1702208,Araguatins,11.11,20,21,22,14,18,6.2,13
1703800,Buriti do Tocantins,0,12,11,11,6,0,0,6
1703891,Carrasco Bonito,19.8,34,44,0,26,0,0,21
1718808,Sampaio,11.76,25,19,0,0,0,11.2,23
1707405,Esperantina,8.58,26,11,6,23,14,29,24
1720309,São Sebastião do Tocantins,21.74,0,41,0,0,12,0,0
1712157,Lavandeira,0,0,0,0,40,0,0,36
1702703,Aurora do Tocantins,0,0,32,20,47,59,31.3,33
1717800,Ponte Alta do Bom Jesus,0,0,42,16,0,18,18.5,0
1715259,Novo Jardim,0,58,43,0,0,29,30.3,0
1707009,Dianópolis,18.18,18,28,26,17,18,15.7,9
1718659,Rio da Conceição,0,0,65,32,0,0,0,0
1712702,Mateiros,19.61,18,0,20,0,0,71.4,0
1709302,Guaraí,20.13,7,21,2,11,3,31.3,5
