cod_ibge,nome,sus_2006,priv_2006,sus_2007,priv_2007,sus_2008,priv_2008,sus_2009,priv_2009,sus_2010,priv_2010,sus_2011,priv_2011,sus_2012,priv_2012,sus_2013,priv_2013,sus_2014,priv_2014,sus_2015,priv_2015,sus_2016,priv_2016,sus_2017,priv_2017,sus_2018,priv_2018,sus_2019,priv_2019
1711951,Lagoa do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716109,Paraíso do Tocantins,66,10,69,29,68,10,68,10,69,10,69,10,70,10,70,10,70,10,70,10,94,10,94,10,97,43,88,43
1718204,Porto Nacional,89,0,110,0,110,0,110,0,110,0,110,0,126,0,126,0,126,0,126,0,150,0,150,0,173,0,173,0
1704600,Chapada de Areia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1721000,Palmas,294,80,285,43,285,77,291,86,309,90,313,90,318,66,330,171,428,177,422,188,433,94,433,208,529,234,529,447
1715101,Novo Acordo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720150,São Félix do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713700,Monte Santo do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1701101,Aparecida do Rio Negro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703107,Barrolândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1712009,Lajeado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1712504,Marianópolis do Tocantins,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713205,Miracema do Tocantins,69,0,65,0,65,0,65,0,65,0,67,0,67,0,68,0,68,0,68,0,68,0,68,0,69,0,69,0
1707108,Divinópolis do Tocantins,9,0,9,0,9,0,9,0,9,0,9,0,9,0,14,0,14,0,14,0,14,0,15,0,15,0,15,0
1721109,Tocantínia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718758,Rio Sono,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1717503,Pium,35,3,42,0,49,0,17,0,17,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
1713304,Miranorte,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,20,0
1700251,Abreulândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703909,Caseara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
