cod_ibge,nome,visce_2007,tegum_2007,visce_2008,tegum_2008,visce_2009,tegum_2009,visce_2010,tegum_2010,visce_2011,tegum_2011,visce_2012,tegum_2012,visce_2013,tegum_2013,visce_2014,tegum_2014,visce_2015,tegum_2015,visce_2016,tegum_2016,visce_2017,tegum_2017,visce_2018,tegum_2018
1720150,São Félix do Tocantins,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1713700,Monte Santo do Tocantins,0,0,0,1,0,0,0,0,0,3,0,2,0,1,0,3,0,6,0,3,1,0,1,0
1701101,Aparecida do Rio Negro,2,2,0,7,0,6,0,10,0,1,0,2,0,1,0,11,0,5,0,3,0,3,0,1
1703107,Barrolândia,3,3,1,4,0,2,0,3,0,4,1,1,0,0,0,8,0,3,0,0,1,0,0,1
1712009,Lajeado,0,0,0,2,0,0,0,2,0,1,0,3,0,3,0,1,1,5,0,4,0,2,0,1
1712504,Marianópolis do Tocantins,8,8,0,1,0,9,0,28,0,7,0,14,0,4,0,3,0,4,0,1,0,3,0,3
1713205,Miracema do Tocantins,4,4,1,5,0,11,3,5,26,12,5,9,7,7,9,8,2,12,2,3,3,8,7,2
1707108,Divinópolis do Tocantins,6,6,0,4,0,4,0,6,0,6,1,4,0,5,0,9,0,8,0,2,0,1,0,4
1721109,Tocantínia,16,16,0,16,0,11,0,11,0,17,0,18,0,26,0,27,0,26,2,13,1,5,0,9
1718758,Rio Sono,2,2,0,1,1,3,0,3,0,1,0,1,0,2,0,2,0,2,0,1,0,0,0,1
1717503,Pium,6,6,1,1,0,9,0,22,0,10,0,1,0,0,0,6,0,5,0,2,0,1,0,4
1713304,Miranorte,4,4,0,3,1,4,0,4,0,2,0,1,0,3,0,2,2,5,0,2,2,4,2,3
1700251,Abreulândia,4,4,0,7,0,29,0,7,0,8,0,10,0,4,0,3,0,2,0,2,0,4,0,3
1703909,Caseara,2,2,0,6,0,16,0,12,0,9,0,6,0,11,1,13,0,0,0,2,0,2,0,0
1718709,Rio dos Bois,1,1,0,2,0,2,0,0,0,2,0,0,0,1,0,1,0,3,0,0,0,0,0,0
1716505,Pedro Afonso,8,8,0,5,0,16,0,5,1,5,2,6,0,8,1,9,0,6,0,3,0,1,0,0
1708254,Tabocão,4,4,0,2,0,2,0,2,0,1,0,1,0,1,0,1,0,2,0,1,0,0,0,1
1712405,Lizarda,0,0,0,3,0,1,2,3,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0
1707207,Dois Irmãos do Tocantins,1,1,0,0,1,1,0,4,1,5,6,16,0,5,0,7,0,7,1,4,0,2,1,2
1703305,Bom Jesus do Tocantins,0,0,1,2,1,2,0,2,0,0,0,1,0,2,0,3,0,7,0,1,0,1,0,0
1704105,Centenário,10,10,0,5,0,9,0,1,0,3,0,3,0,9,0,3,0,1,0,2,0,0,0,0
1721257,Tupirama,0,0,0,1,0,1,0,1,0,1,0,0,0,3,0,1,1,1,0,1,0,0,0,0
1708304,Goianorte,0,0,0,4,0,0,0,2,0,0,0,2,3,2,1,2,0,3,1,3,0,0,1,3
1718881,Santa Maria do Tocantins,3,3,0,1,0,3,0,8,0,0,0,2,0,11,0,6,0,4,0,0,0,0,0,0
1716703,Colméia,0,0,0,2,4,1,3,7,2,0,2,0,3,0,0,5,2,4,0,0,0,2,0,4
1701903,Araguacema,6,6,1,6,6,18,0,10,0,8,0,28,0,18,0,13,0,11,0,6,0,4,0,3
1718501,Recursolândia,2,2,0,5,1,8,0,10,2,13,0,7,0,5,0,10,0,7,0,4,0,6,0,2
1718402,Presidente Kennedy,6,6,0,2,0,5,0,3,0,0,0,1,0,4,1,4,0,0,0,2,0,1,0,0
1706001,Couto de Magalhães,6,6,0,8,0,6,0,5,0,2,0,0,0,3,0,9,1,5,0,0,0,2,0,3
1711100,Itaporã do Tocantins,3,3,0,0,0,1,0,0,1,2,2,1,1,2,1,5,0,2,0,1,1,0,0,2
1710508,Itacajá,10,10,0,11,0,8,0,1,0,3,0,18,0,15,0,7,0,6,0,3,0,5,0,2
1703602,Brasilândia do Tocantins,2,2,0,0,0,2,0,7,0,1,0,3,0,6,0,2,0,4,0,0,0,0,0,0
1721307,Tupiratins,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
1716653,Pequizeiro,2,2,2,0,1,0,4,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0
1711803,Juarina,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1710904,Itapiratins,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1
1703842,Campos Lindos,0,0,0,1,0,1,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1705508,Colinas do Tocantins,5,5,1,4,7,7,5,1,17,0,10,8,11,11,7,10,5,3,8,3,3,2,6,2
1703206,Bernardo Sayão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
1703057,Bandeirantes do Tocantins,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1702307,Arapoema,0,0,0,2,0,3,0,6,0,0,0,0,0,5,0,5,0,1,0,1,0,0,0,1
1709005,Goiatins,0,0,0,1,0,1,1,4,0,4,0,2,0,4,0,7,0,4,0,4,0,1,1,4
1715705,Palmeirante,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1714880,Nova Olinda,2,2,2,6,1,1,9,3,2,1,11,1,0,0,0,0,1,0,2,3,0,1,0,4
1703073,Barra do Ouro,1,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
1716307,Pau d'Arco,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1707702,Filadélfia,1,1,0,1,0,2,0,0,1,2,0,0,0,4,0,3,0,1,0,0,0,0,0,0
1702109,Araguaína,49,49,310,48,207,76,135,40,280,23,187,53,134,58,86,54,74,38,98,19,83,14,70,16
1703883,Carmolândia,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1703008,Babaçulândia,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718865,Santa Fé do Araguaia,0,0,0,0,0,14,1,2,4,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0
1713957,Muricilândia,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1701309,Aragominas,1,1,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
1722081,Wanderlândia,2,2,2,1,2,8,0,6,1,5,0,3,0,3,0,0,0,6,1,0,0,2,0,1
1706506,Darcinópolis,3,3,0,0,1,8,0,3,0,0,0,5,0,5,0,2,0,2,2,0,2,0,0,0
1702158,Araguanã,2,2,0,2,0,3,0,4,0,2,0,0,0,0,0,0,0,1,0,1,0,1,1,6
1713809,Palmeiras do Tocantins,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,2,0,0,0,0
1717206,Piraquê,1,1,0,4,1,1,0,3,0,1,0,0,0,2,0,2,0,1,0,2,0,1,0,1
1700301,Aguiarnópolis,4,4,1,0,4,5,2,1,0,1,0,0,0,2,0,2,3,3,2,0,0,0,0,1
1720002,Santa Terezinha do Tocantins,0,0,0,1,1,1,0,1,2,0,1,1,0,2,0,1,0,2,0,0,0,0,0,0
1718550,Riachinho,3,3,0,4,0,8,0,2,0,2,0,1,0,4,0,4,0,4,0,2,0,2,0,1
1722107,Xambioá,7,7,0,7,2,30,0,4,1,2,0,4,0,2,0,5,0,7,1,1,0,0,0,3
1701051,Angico,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,1
1714302,Nazaré,8,8,0,3,0,1,0,4,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
1712454,Luzinópolis,1,1,0,2,0,3,0,3,1,3,0,0,0,2,0,2,0,4,0,3,0,1,0,0
1721208,Tocantinópolis,8,8,0,9,11,5,8,6,3,2,1,11,1,15,1,6,4,8,11,2,11,4,5,3
1703826,Cachoeirinha,1,1,0,0,0,4,0,1,0,3,0,3,4,4,0,2,0,3,0,0,0,0,0,2
