ano,sigla_uf,id_municipio,recusa,tipo_administracao,existencia_adm_indireta,tipo_vinculo,escolaridade,quantidade_vinculo
2018,TO,1700251,0,Indireta,0,Celetistas,Total,
2018,TO,1700251,0,Indireta,0,Celetistas,Sem instrução,
2018,TO,1700251,0,Indireta,0,Celetistas,Ensino fundamental,
2018,TO,1700251,0,Indireta,0,Celetistas,Ensino médio,
2018,TO,1700251,0,Indireta,0,Celetistas,Ensino superior,
2018,TO,1700251,0,Indireta,0,Celetistas,Pós-graduação,
2018,TO,1700251,0,Indireta,0,Somente comissionados,Total,
2018,TO,1700251,0,Indireta,0,Somente comissionados,Sem instrução,
2018,TO,1700251,0,Indireta,0,Somente comissionados,Ensino fundamental,
2018,TO,1700251,0,Indireta,0,Somente comissionados,Ensino médio,
2018,TO,1700251,0,Indireta,0,Somente comissionados,Ensino superior,
2018,TO,1700251,0,Indireta,0,Somente comissionados,Pós-graduação,
2018,TO,1700251,0,Indireta,0,Estagiários,Total,
2018,TO,1700251,0,Indireta,0,Estagiários,Ensino fundamental,
2018,TO,1700251,0,Indireta,0,Estagiários,Ensino médio,
2018,TO,1700251,0,Indireta,0,Estagiários,Ensino superior,
2018,TO,1700251,0,Indireta,0,Estagiários,Pós-graduação,
2018,TO,1700251,0,Indireta,0,Sem vínculo permanente,Total,
2018,TO,1700251,0,Indireta,0,Sem vínculo permanente,Sem instrução,
2018,TO,1700251,0,Indireta,0,Sem vínculo permanente,Ensino fundamental,
2018,TO,1700251,0,Indireta,0,Sem vínculo permanente,Ensino médio,
2018,TO,1700251,0,Indireta,0,Sem vínculo permanente,Ensino superior,
2018,TO,1700251,0,Indireta,0,Sem vínculo permanente,Pós-graduação,
2019,TO,1700251,0,Direta,0,Estatutários,Total,79
2019,TO,1700251,0,Direta,0,Celetistas,Total,0
2019,TO,1700251,0,Direta,0,Somente comissionados,Total,26
2019,TO,1700251,0,Direta,0,Estagiários,Total,0
2019,TO,1700251,0,Direta,0,Sem vínculo permanente,Total,88
2019,TO,1700251,0,Indireta,0,Estatutários,Total,
2019,TO,1700251,0,Indireta,0,Celetistas,Total,
2019,TO,1700251,0,Indireta,0,Somente comissionados,Total,
2019,TO,1700251,0,Indireta,0,Estagiários,Total,
2019,TO,1700251,0,Indireta,0,Sem vínculo permanente,Total,
2020,TO,1700251,0,Direta,0,Estatutários,Total,79
2020,TO,1700251,0,Direta,0,Celetistas,Total,0
2020,TO,1700251,0,Direta,0,Somente comissionados,Total,28
2020,TO,1700251,0,Direta,0,Estagiários,Total,0
2020,TO,1700251,0,Direta,0,Sem vínculo permanente,Total,118
