cod_ibge,ano,populacao_atendida_agua,populacao_atendida_esgoto,indice_atendimento_agua,indice_atendimento_esgoto,indice_tratamento_esgoto
1718550,2015,1936,,42.83,,
1718550,2016,1936,,42.45,,
1718550,2017,1989,,43.23,,
1718550,2018,1991,,43.25,,
1718550,2019,1991,,42.86,,
1718550,2020,4400,,93.94,,
1718550,2021,4507,,95.43,,
1718550,2022,3639,,91.89,,
1718659,2015,1780,,89.9,,
1718659,2016,1780,,88.08,,
1718659,2017,1893,,91.85,,
1718659,2018,1917,,91.81,,
1718659,2019,1956,,91.83,,
1718659,2020,1994,,91.85,,
1718659,2021,2030,,91.81,,
1718659,2022,1768,,100.0,,
1718709,2015,1097,,39.69,,
1718709,2016,1097,,39.36,,
1718709,2017,1125,,40.04,,
1718709,2018,1125,,40.02,,
1718709,2019,1125,,39.7,,
1718709,2020,2708,,94.82,,
1718709,2021,2773,,96.32,,
1718709,2022,2630,,96.06,,
1718758,2015,3023,,46.61,,
1718758,2016,3023,,46.51,,
1718758,2017,2857,,43.87,,
1718758,2018,2916,,45.08,,
1718758,2019,2977,,45.96,,
1718758,2020,3039,,46.84,,
1718758,2021,3101,,47.72,,
1718758,2022,2268,,46.85,,
1718808,2015,3939,,89.22,,
1718808,2016,3939,,87.57,,
1718808,2017,4167,,91.0,,
1718808,2018,4210,,90.99,,
1718808,2019,4210,,89.37,,
1718808,2020,4407,,91.93,,
1718808,2021,4556,,93.44,,
1718808,2022,3842,,91.15,,
1718840,2015,1809,,53.05,,
1718840,2016,1809,,53.05,,
1718840,2017,1809,,53.05,,
1718840,2018,1792,,53.05,,
1718840,2019,1792,,53.1,,
1718840,2020,3177,,94.19,,
1718840,2021,3226,,95.7,,
1718840,2022,3531,,94.84,,
1718865,2015,7144,,98.78,,
1718865,2016,7144,,97.62,,
1718865,2017,7144,,96.51,,
1718865,2018,7144,,96.2,,
1718865,2019,7244,,96.43,,
1718865,2020,5300,,69.78,,
1718881,2015,1906,,58.61,,
1718881,2016,1906,,57.67,,
1718881,2017,2000,,59.59,,
1718881,2018,2015,,59.6,,
1718881,2019,2047,,59.61,,
1718881,2020,2078,,59.61,,
1718881,2021,2108,,59.6,,
1718881,2022,2104,,78.51,,
1718899,2015,983,,42.74,,
1718899,2016,983,,42.33,,
1718899,2017,1011,,43.15,,
1718899,2018,1011,,43.13,,
1718899,2019,1020,,43.13,,
1718899,2020,1029,,43.13,,
1718899,2021,1038,,43.12,,
1718899,2022,903,,40.69,,
1718907,2015,3079,,64.23,,
1718907,2016,3079,,63.96,,
1718907,2017,3118,,64.51,,
1718907,2018,3104,,64.52,,
1718907,2019,3115,,64.51,,
1718907,2020,3126,,64.51,,
1718907,2021,3385,,69.59,,
1718907,2022,2848,,61.21,,
1719004,2015,1748,,63.29,,
1719004,2016,1748,,62.56,,
1719004,2017,1809,,64.04,,
1719004,2018,1815,,64.04,,
1719004,2019,1815,,63.33,,
1719004,2020,2748,,94.86,,
1719004,2021,2821,,96.35,,
1719004,2022,2672,,96.08,,
1720002,2015,1640,,64.39,,
1720002,2016,1640,,64.36,,
1720002,2017,1643,,64.43,,
1720002,2018,1629,,64.44,,
1720002,2019,1629,,64.41,,
1720002,2020,2376,,93.91,,
1720002,2021,2414,,95.42,,
1720002,2022,2290,,95.18,,
1720101,2015,2962,,58.12,,
1720101,2016,2962,,57.36,,
1720101,2017,3083,,58.94,,
1720101,2018,3098,,58.94,,
1720101,2019,3098,,58.19,,
1720101,2020,4687,,86.94,,
1720101,2021,4826,,88.44,,
1720101,2022,4994,,88.33,,
1720150,2015,993,,64.27,,
1720150,2016,993,,63.69,,
1720150,2017,1018,,64.8,,
1720150,2018,1018,,64.76,,
1720150,2019,1018,,64.23,,
1720150,2020,1512,,94.62,,
1720150,2021,1588,,98.63,,
1720150,2022,1742,,97.7,,
1720200,2015,9321,,80.37,,
1720200,2016,9321,,79.3,,
1720200,2017,10271,,86.27,,
1720200,2018,11459,,95.75,,
1720200,2019,11979,,98.68,,
1720200,2020,12293,,99.99,,
1720200,2021,12445,,100.0,,
1720200,2022,10132,,76.52,,
1720259,2015,1661,,54.32,,
1720259,2016,1661,,54.09,,
1720259,2017,1683,,54.57,,
1720259,2018,1675,,54.56,,
1720259,2019,1675,,54.35,,
1720259,2020,2730,,88.24,,
1720259,2021,2787,,89.73,,
1720259,2022,1944,,81.51,,
1720309,2015,4224,,90.76,,
1720309,2016,4224,,89.83,,
1720309,2017,3814,,80.31,,
1720309,2018,3877,,81.5,,
1720309,2019,3936,,81.91,,
1720309,2020,3996,,82.36,,
1720309,2021,4056,,82.81,,
1720309,2022,3143,,76.66,,
1720499,2015,2651,,62.91,,
1720499,2016,2651,,63.71,,
1720499,2017,2554,,62.13,,
1720499,2018,2496,,62.14,,
1720499,2019,2496,,63.03,,
1720499,2020,3568,,91.39,,
1720499,2021,2391,,62.14,,
1720499,2022,3288,,74.36,,
1720655,2015,4261,,79.72,,
1720655,2016,4261,,79.32,,
1720655,2017,4326,,80.13,,
1720655,2018,4309,,80.12,,
1720655,2019,4327,,80.09,,
1720655,2020,4349,,80.12,,
1720655,2021,4369,,80.14,,
1720655,2022,4015,,78.6,,
1720804,2016,4912,,53.29,,
1720804,2018,4838,,53.29,,
1720804,2019,6486,,71.84,,
1720804,2020,4795,1250,53.3,13.89,100.0
1720804,2021,4777,2000,53.28,22.31,100.0
1720804,2022,7302,1794,67.42,16.57,100.0
1720853,2015,1192,,62.74,,
1720853,2016,1192,,62.05,,
1720853,2017,1232,,63.47,,
1720853,2018,1236,,63.51,,
1720853,2019,1236,,62.87,,
1720853,2020,1855,,93.4,,
1720853,2021,1905,,94.92,,
1720853,2022,1386,,87.89,,
1720903,2015,14609,,89.97,,
1720903,2016,14609,,89.16,,
1720903,2017,12451,,75.32,,
1720903,2018,12675,,76.64,,
1720903,2019,12890,,77.26,,
1720903,2020,13107,,77.9,,
1720903,2021,13323,10412,78.53,61.37,100.0
1720903,2022,9893,9893,70.61,70.61,100.0
1720937,2015,1585,,75.69,,
1720937,2016,1585,,75.05,,
1720937,2017,1705,,80.05,,
1720937,2018,1706,,80.06,,
1720937,2019,1706,,79.42,,
1720937,2020,2036,,94.0,,
1720937,2021,2085,,95.51,,
1720937,2022,1918,,94.9,,
1720978,2015,2737,1053,100.0,38.47,100.0
1720978,2016,2757,1085,100.0,39.35,100.0
1720978,2017,2777,1093,100.0,39.36,100.0
1720978,2018,1475,1105,53.19,39.85,100.0
1720978,2019,1486,1150,53.2,41.17,100.0
1720978,2020,1496,1150,53.2,40.9,100.0
1720978,2021,2400,1250,84.78,44.15,100.0
1720978,2022,2377,1366,96.78,55.62,100.0
1721000,2015,272699,193852,99.99,71.08,100.0
1721000,2016,272699,193852,97.44,69.27,100.0
1721000,2017,279411,239616,97.43,83.55,100.0
1721000,2018,286056,248200,98.01,85.04,100.0
1721000,2019,294408,256268,98.42,85.67,100.0
1721000,2020,302191,266244,98.66,86.92,100.0
1721000,2021,309784,283912,98.86,90.61,100.0
1721000,2022,296432,272301,97.93,89.96,100.0
1721109,2015,3174,,43.4,,
1721109,2016,3174,,42.97,,
1721109,2017,3273,,43.87,,
1721109,2018,3277,,43.86,,
1721109,2019,3277,,43.43,,
1721109,2020,5386,,70.71,,
1721109,2021,5552,,72.22,,
1721109,2022,5382,,72.15,,
1721208,2015,22868,8638,98.82,37.33,99.89
1721208,2016,22868,8678,98.87,37.52,100.0
1721208,2017,20770,8270,89.84,35.77,100.0
1721208,2018,21015,8667,91.78,37.85,100.0
1721208,2019,21133,8743,92.4,38.23,100.0
1721208,2020,21252,8780,93.03,38.43,100.0
1721208,2021,21370,12878,93.65,56.43,100.0
1721208,2022,19297,11850,85.33,52.4,100.0
1721257,2015,990,,55.56,,
1721257,2016,990,,54.61,,
1721257,2017,1089,,59.09,,
1721257,2018,1099,,59.09,,
1721257,2019,1099,,58.12,,
1721257,2020,1838,,95.63,,
1721257,2021,1896,,97.13,,
1721257,2022,1853,,97.07,,
1721307,2015,1220,,49.57,,
1721307,2016,1220,,48.45,,
1721307,2017,1307,,50.78,,
1721307,2018,1327,,50.78,,
1721307,2019,1327,,49.68,,
1721307,2020,2499,,91.57,,
1721307,2021,2592,,93.07,,
1721307,2022,1332,,71.08,,
1722081,2015,9046,,78.21,,
1722081,2016,9046,,77.84,,
1722081,2017,7303,,62.54,,
1722081,2018,7430,,63.88,,
1722081,2019,7554,,64.66,,
1722081,2020,7680,,65.45,,
1722081,2021,7807,,66.26,,
1722081,2022,6366,,60.5,,
1722107,2015,11501,,98.22,,
1722107,2016,11501,,98.34,,
1722107,2017,10249,,87.73,,
1722107,2018,10277,,88.89,,
1722107,2019,10302,,89.27,,
1722107,2020,10328,,89.65,,
1722107,2021,10355,,90.04,,
1722107,2022,9239,,87.85,,
